Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,
29.000.000003.2024,SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,29/02/2024,CONTRATAÇÃO DE EMPRESA DE SERVIÇO TÉCNICO ESPECIALIZADOS DE DIGITALIZAÇÃO,18.522.294/0001-87 - INDOC SOLUÇÕES E SERVIÇOS LTDA,"28.800,00",
33.201.000195.2024,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,29/02/2024,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA (LIMPEZA DE FOSSA E CAIXA DE GORDURA),02.517.553/0001-41 - ADNA MERCIA MEDEIROS COSTA,"25.200,00",
25.300.222024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,01/03/2024,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR,45.357.178/0001-22 - MARIA E FERREIRA,"38.223,50",
25.300.232024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,01/03/2024,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR,45.357.178/0001-22 - MARIA E FERREIRA,"33.996,41",
25.300.242024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,01/03/2024,AQUISIÇÃO DE GENEROS ALIMENTICIOS SECOS,09.082.705/0001-70 - ROBERVAL PAULINO,"11.218,40",
25.300.252024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,01/03/2024,FORNECIMENTO DE QUENTINHA - JANTAR,38.598.188/0001-94 - AVELINA SOARES LIMA DE MEDEIROS,"10.200,00",
25.300.262024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,01/03/2024,LOCAÇÃO DE SISTEMA INFORMATIZADO,34.285.941/0001-30 - ALVARO LUIZ MORAIS DE OLIVEIRA,"10.850,00",
27.000.000511.2024,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,04/03/2024,AQUISIÇÃO DE MATERIAL DE CONSUMO PARA MANUTENÇÃO DA PISCINA DO CENTRO DE CONVIVÊNCIA DA PESSOA IDOSA – CCPI,34.387.726/0001-40 - SMART COMERCIO E SERVICOS LTDA,"2.092,00",
34.201.000971.2024,SECTMA/SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MEIO AMBIENTE,04/03/2024,SERVIÇO DE PODA E ROÇO JARDIM BOTÂNICO BENJAMIM MARANHÃO,32.768.081/0001-60 - 32.768.081 CLEBER AUGUSTO MACHADO DA SILVA,"30.000,00",
21.901.000078.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,05/03/2024,AQUISIÇÃO DE MATERIAL GRÁFICO,26.758.661/0001-74 - WESLEY RAMOS NOBREGA,"33.683,92",
25.302.000017.2024,SES/CONSELHO ESTADUAL DE SAUDE,05/03/2024,AQUISIÇÃO DE MATERIAL DE LIMPEZA E HIGIENE COMUM,40.705.470/0001-75 - R COMERCIO E SERVIÇOS,"13.380,45",
25.000.001023.2024,SECRETARIA DE ESTADO DA SAÚDE,07/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S),60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,"328.118,40",
25.000.001981.2024,SECRETARIA DE ESTADO DA SAÚDE,07/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS DIVERSOS,04.307.650/0026-93 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA.,"4.053.928,16",
25.000.002553.2024,SECRETARIA DE ESTADO DA SAÚDE,07/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO/INSUMOS,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"3.882.109,80",
25.205.000031.2024,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,07/03/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO, DEDETIZAÇÃO E CONTROLE DE PRAGAS URBANAS NO GERAL",14.700.054/0001-74 - PB PRAGAS IMUNIZAÇÃO DE PRAGAS LTDA ME,"11.400,00",
25.206.000029.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE MEDICAMENTOS (SISTEMA NERVOSO),44.734.671/0022-86 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,"486.266,80",
25.206.000032.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR (GRAMPEADOR LINEAR CORTANTE 75MM).,01.835.769/0001-92 - BRAMED MATERIAL CIRÚRGICO LTDA - EPP,"2.646,00",
25.206.000034.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR (PINÇA BIPOLAR AVANÇADA COM TECNOLOGIA DE SELAGEM DE VASOS...),11.278.315/0001-11 - PROMED MATERIAIS CIRURGICOS LTDA,"4.900,00",
25.206.000035.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR,12.728.929/0001-10 - DJ PRODUTOS HOSPITALARES LTDA,"24.084,00",
25.206.000036.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇAO DE SONDA DE GASTROSTOMIA,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"9.590,00",
25.206.000037.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE SONDAS DE GASTROSTOMIA,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"8.220,00",
25.206.000038.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇAO DE SONDA DE GASTROSTOMIA,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"9.590,00",
25.206.000039.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇAO DE SONDA DE GASTROSTOMIA,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"8.220,00",
25.206.000040.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,AQUISIÇÃO DE SONDAS DE GASTROSTOMIA,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"6.850,00",
25.206.000042.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,"AQUISIÇAO DE MEDICAMENTOS (ANTI-INFLAMATÓRIOS, ANALGÉSICOS, ANTI-HISTAMÍNICOS E ANESTÉSICOS)",44.734.671/0022-86 - CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,"454.690,80",
25.206.000043.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,CONTRATAÇÃO DE EMPRESA DE LOCAÇÃO DE CAMA E BERÇO HOSPITALAR,24.050.462/0001-81 - SUPREMA L LIMA SOLUCOES E LOCACOES LTDA,"45.240,00",
25.206.000044.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,07/03/2024,CONTRATAÇÃO DE EMPRESA DE LOCAÇÃO DE BALANÇA DE PRECISÃO E BEBEDOURO TIPO GELAGUA,50.340.684/0001-49 - LIONS COMERCIO E SERVIÇOS,"47.694,00",
25.233.000008.2024,SES/HOSPITAL DISTRITAL DE SOLÂNEA - SOLANEA,07/03/2024,CONTRATAÇÃO DE SERVIÇO DE LOCAÇÃO DE PONTO ELETRONICO,17.018.554/0001-19 - VLADMIR DE MATOS LEITÃO - ME,"4.800,00",
31.201.000869.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,07/03/2024,AQUISIÇÃO DE MATERIAL DE CONSUMO DE INFORMÁTICA PARA PEQUENAS MANUTENÇÕES FEITAS PELA DTI-DERPB,20.758.543/0001-80 - MIXX TECNOLOGIA COMERCIO DE INFORMATICA LTDA,"11.102,00",
21.901.000085.2024R1,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,08/03/2024,AQUISIÇÃO DE SACOLAS PERSONALIZADAS PARA EVENTOS,39.310.234/0001-70 - 39.310.234 LUKAS HENRIQUE VITORINO SILVA,"5.478,00",
25.000.002552.2024,SECRETARIA DE ESTADO DA SAÚDE,08/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO/INSUMOS ,09.053.134/0009-00 - ELFA MEDICAMENTOS S.A.,"3.834.938,84",
30.000.000.997.2024,ENCARGOS GERAIS DO ESTADO,08/03/2024,CONTRATAÇÃO DE SERVIÇOS DE EMPRESA ESPECIALIZADA EM VIGILÂNCIA ARMADA E DESARMADA,14.534.490/0001-10 - GSI – GESTÃO DE SEGURANÇA INTEGRADA VIGILÂNCIA E SEGURANÇA LTDA,"774.680,00",
25.000.002113.2024,SECRETARIA DE ESTADO DA SAÚDE,11/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S) ,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"116.552,00",
27.000.000232.2024,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,11/03/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA CONFECÇÃO DE MATERIAL GRÁFICO PERSONALIZADO PARA ATENDER AS DEMANDAS DA GEDH.,41.570.283/0001-94 - S D COMERCIO DE ARTIGOS DE BRINDES E SERVICOS GRAFICOS LTDA,"3.919,50",
27.201.001683.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",11/03/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSERTO/MANUTENÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,05.830.842/0001-94 - DENTAL ORTOSHOP COMERCIO LTDA,"9.336,00",
23.901.000022.2024,CBMPB/FUNDO ESPECIAL DO CORPO DE BOMBEIROS,12/03/2024,AQUISIÇÃO DE MATERIAIS CURATIVOS DE ATENDIMENTO PRÉ-HOSPITALAR PARA ATENDIMENTO DAS DEMANDAS DO CBMPB,12.040.718/0001-90 - GRADUAL COMERCIO E SERVICOS LTDA,"57.848,50",
25.000.000603.2024,SECRETARIA DE ESTADO DA SAÚDE,12/03/2024,CONTRATAÇÃO EMERGENCIAL DE SERVIÇO,31.132.859/0001-88 - CLINICA MEDICA HIPERBARICA JOAO PESSOA LTDA,"28.500,00",
25.000.002404.2024,SECRETARIA DE ESTADO DA SAÚDE,12/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"4.276.507,78",
25.000.002997.2024,SECRETARIA DE ESTADO DA SAÚDE,12/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S),51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,"3.025.900,80",
25.206.000045.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/03/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM HEMODIÁLISE,09.291.683/0001-58 - NEFRUZA SERVICOS NEFROLOGICOS FIUZA CHAVES LTDA,"22.220,00",
25.206.000048.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/03/2024,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR,24.958.749/0001-04 - SABRINA MARTHA RAMALHO MENDES COMERCIO DE ARTIGOS MEDICOS EIRELI - ME,"25.500,00",
25.206.000053.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,12/03/2024,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (CATETER DUPLO J),12.728.929/0001-10 - DJ PRODUTOS HOSPITALARES LTDA,"44.370,00",
25.301.000005.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,12/03/2024,"AQUISIÇÃO DE MATERIAL MEDICO, HOSPITALAR/FISIOTERAPÊUTICO.",38.414.915/0001-16 - MILTON DE ASSIS GARRIDO NETO,"56.431,70",
25.000.000658.2024,SECRETARIA DE ESTADO DA SAÚDE,13/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S) PARA ATENDER A DETERMINAÇÃO JUDICIAL ,04.238.951/0006-69 - LOCMED HOSPITALAR LTDA,"3.250,00",
25.206.000061.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,13/03/2024,AQUISIÇÃO DE CURATIVO,42.004.633/0001-18 - HEART MEDICAL MATERIAL HOSPITALAR LTDA,"161,00",
25.302.000019.2024,SES/CONSELHO ESTADUAL DE SAUDE,13/03/2024,AQUISIÇÃO DE EQUIPAMENTOS ELETRÔNICOS E ELETROPORTÁTEIS.,45.236.929/0001-52 - RAMONILZA DA SILVA ARRUDA CAMARA,"19.383,00",
26.201.005851.2024,SEDS/DEPARTAMENTO ESTADUAL DE TRÂNSITO DO ESTADO DA PARAÍBA,13/03/2024,CONTRATAÇÃO EMERGENCIAL DO SERVIÇO DE SEGURANÇA ELETRÔNICA POR VIDEOMONITORAMENTO - CAMPINA GRANDE,02.715.056/0001-58 - ALERTA SEGURANCA ELETRONICA EIRELI - EPP,"180.000,00",
21.901.000087.2024,SETDE/FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO - EMPREENDER-PB,14/03/2024,AQUISIÇÃO DE CAMISAS PERSONALIZADAS PARA EVENTOS ,51.174.387/0001-33 - JUCIVANDA ROBERTO PESSOA,"11.928,90",
25.000.003442.2024,SECRETARIA DE ESTADO DA SAÚDE,14/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO/INSUMOS,60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,"136.473,60",
25.223.000027.2024,SES/HOSPITAL GERAL DE COREMAS,14/03/2024,"AQUISIÇÃO DE ÁGUA MINERAL - DISPENSA DE LICITAÇÃO LEI 14.133/21 ART. 75, II",31.916.800/0001-80 - FRANCISCO DE ASSIS DA SILVA MOVEIS,"12.000,00",
27.201.000301.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",14/03/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA REFORMA/CONSTRUÇÃO DO ESPAÇO DESTINADO AOS EQUIPAMENTOS DE REVISTA CORPORAL E BAGAGEM - UNIDADE SOCIOEDUCATIVA CEA/SOUSA.,48.393.324/0001-63 - UN ENGENHARIA LTDA,"116.200,00",
20.000.400188.2024,SECRETARIA DE ESTADO DA FAZENDA,15/03/2024,AQUISIÇÃO DE CAFÉ DESCAFEINADO,49.552.963/0001-97 - TCL COMERCIAL LTDA.,"972,00",
25.000.000445.2024,SECRETARIA DE ESTADO DA SAÚDE,15/03/2024,AQUISIÇÃO EMERGENCIAL PARA ATENDER DETERMINAÇÃO JUDICIAL,34.032.402/0001-90 - AUDISONIC COMERCIO DE PRODUTOS AUDITIVOS LTDA,"15.000,00",
25.206.000063.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,15/03/2024,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE,22.526.394/0001-59 - MARCELA ELIZABETE DE MIRANDA BATISTA SANTOS SOUTO EIRELI ME,"13.597,72",
25.210.000012.2024,SES/HOSPITAL REGIONAL DE PATOS,15/03/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE PONTO ELETRÔNICO E CATRACA - LEI 14.133/21, ART. 75, II.",17.018.554/0001-19 - VLADMIR DE MATOS LEITÃO - ME,"26.880,00",
25.300.282024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,15/03/2024,FORNECIMENTO DE QUENTINHA - ALMOÇO ,38.598.188/0001-94 - AVELINA SOARES LIMA DE MEDEIROS,"14.016,00",
25.300.292024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,15/03/2024,"SERVIÇO DE MANUTENÇÃO DE HARDWARES, SOFTWARES E PERIFERICOS",41.351.944/0001-90 - AUTHENTIC DIGITAL,"21.600,00",
25.300.302024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,15/03/2024,"SERVIÇO DE EXAMES LABORATORIAIS - MATERIAIS, INSUMOS, EPI´S E EXAMES",10.682.541/0001-09 - GIBSON DE ARAUJO MEDEIROS ME,"17.895,39",
25.300.312024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,15/03/2024,AQUISIÇÃO DE TNT,26.230.669/0001-63 - MEDEIROS E FRAZAO ARTIGOS DE ARMARINHO LTDA,"13.502,00",
25.300.322024.2024,SES/UNIDADE DE PRONTO ATENDIMENTO UPA 24 HORAS DO MUNICÍPIO DE PRINCESA ISABEL,15/03/2024,AQUISIÇAO DE DESCARTÁVEIS,09.082.705/0001-70 - ROBERVAL PAULINO,"8.790,00",
27.201.000154.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",15/03/2024,AQUISIÇÃO DE PLACA DE IDENTIFICAÇÃO,41.570.283/0001-94 - S D COMERCIO DE ARTIGOS DE BRINDES E SERVICOS GRAFICOS LTDA,"3.110,00",
27.201.000333.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",15/03/2024,AQUISIÇÃO DE BOLSA MULTIUSO TRANSPARENTE,50.340.684/0001-49 - LIONS COMERCIO E SERVIÇOS,"6.200,00",
28.000.000175.2024,PROJETO COOPERAR,15/03/2024,AQUISIÇÃO DE PALMA FORRAGEIRA RESISTENTE À COCHONILHA DO CARMIM,06.049.929/0001-91 - ATACADAO DO CRIADOR - COM.IND. AGROPECUARIA E TRANSPORTES LTDA,"34.997,76",
29.000.000004.2024,SECRETARIA DE ESTADO DA COMUNICAÇÃO INSTITUCIONAL,15/03/2024,AQUISIÇÃO DE MATERIAL DE EXPEDIENTE,24.116.337/0001-27 - PAPELARIA E LIVRARIA PEDRO II LTDA - EPP,"11.809,30",
33.201.000311.2024,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,15/03/2024,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURIDICA (LOCAÇÃO DE PRATICÁVEIS),01.752.306/0001-67 - ELLY SOM LTDA,"16.800,00",
38.000.000086.2024,POLICIA CIVIL DO ESTADO DA PARAIBA,17/03/2024,AQUISIÇÃO DE RAÇÃO CANINA E INSUMOS VETERINÁRIOS,49.707.940/0001-04 - REDE POP PET CENTER BESSA PET LTDA,"14.893,03",
15.000.000009.2024,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,18/03/2024,AQUISIÇÃO DE FITA PARA ISOLAMENTO DE ÁREA (ZEBRADA),36.441.702/0001-58 - EUCLIMAECIL ALMEIDA DE FREITAS,"17.000,00",
25.206.000064.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR (DRENOS DE BLAKE),12.728.929/0001-10 - DJ PRODUTOS HOSPITALARES LTDA,"58.484,00",
25.206.000065.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇÃO DE MATERIAL DE CME,12.728.929/0001-10 - DJ PRODUTOS HOSPITALARES LTDA,"21.117,00",
25.206.000066.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇAO DE MATERIAL MEDICO E HOSPITALAR,41.778.326/0001-21 - MED & FARMA COMERCIO ATACADISTA MEDICAMENTOS LTDA,"12.060,00",
25.206.000067.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇAO DE MEDICAMENTOS,03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"8.700,00",
25.206.000068.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇAO DE MATERIAL MEDICO E HOSPITALAR,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","59.083,46",
25.206.000069.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,18/03/2024,AQUISIÇAO DE MEDICAMENTOS,08.774.906/0001-75 - HOSPDROGAS COMERCIAL LTDA,"43.803,30",
25.301.000006.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,18/03/2024,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,04.709.948/0001-71 - JUCÉLIO COSTA DE ARAÚJO E CIA LTDA,"33.309,50",
27.201.000224.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",18/03/2024,AQUISIÇÃO DE CRACHÁ E FICHA DE IDENTIFICAÇÃO,41.570.283/0001-94 - S D COMERCIO DE ARTIGOS DE BRINDES E SERVICOS GRAFICOS LTDA,"11.556,00",
33.201.000332.2024,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,18/03/2024,SERVIÇO DE TERCEIRO PESSOA JURÍDICA - SONORIZAÇÃO E ILUMINAÇÃO.,01.752.306/0001-67 - ELLY SOM LTDA,"15.600,00",
21.000.000076.2024,SECRETARIA DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONÔMICO,19/03/2024,"SERVIÇO ESPECIALIZADO EM CONSERVAÇÃO, HIGIENIZAÇÃO E LIMPEZA - 38º SALÃO DO ARTESANATO PARAIBANO CG",48.976.612/0001-40 - MR CONSULTORIA SERVIÇOS TERCEIRIZADO LTDA,"29.499,94",
21.000.000077.2024,SECRETARIA DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONÔMICO,19/03/2024,SERVIÇO DE ARQUITETURA - 38° SALÃO DO ARTESANATO PARAIBANO CG,"15.465.050/0001-11 - GIRO CONSTRUCAO, INCORPORACAO E IMOBILIARIA LTDA","43.880,50",
25.000.023235.2024,SECRETARIA DE ESTADO DA SAÚDE,19/03/2024,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS PARA ATENDER  DEMANDA JUDICIAL ,18.485.178/0001-35 - L.A DE PRODUTOS ORTOPEDICOS LTDA,"24.900,00",
25.206.000070.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,CONTRATAÇÃO DE EMPRESA PARA CONTROLE DE QUALIDADE DE ÁGUA,09.374.014/0001-40 - CASE SERVICOS DE LIMPEZA LTDA - ME,"6.498,45",
25.206.000071.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,EXAMES DE CINTILOGRAFIA RENAL,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"2.080,00",
25.206.000072.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,AQUISIÇAO DE MEDICAMENTOS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","48.120,00",
25.206.000073.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,AQUISIÇAO DE MEDICAMENTOS,52.448.000/0001-52 - NORT MED PRODUTOS HOSPITALARES LTDA,"31.308,00",
25.206.000074.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,AQUISIÇAO DE MEDICAMENTOS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","55.355,00",
25.206.000075.2024,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,19/03/2024,AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO,97.552.790/0001-50 - SAMPAIO LEITE CONSTRUCOES LTDA,"38.665,41",
33.201.000219.2024,SEC/FUNDAÇÃO ESPAÇO CULTURAL DA PARAÍBA,19/03/2024,"AQUISIÇÃO DE MATERIAL PERMANENTE E DE CONSUMO - ROTEADOR, CABO DE REDE.",22.262.501/0001-89 - JACIARA DE SOUSA ALBUQUERQUE 02925928412,"19.028,00",
25.000.002878.2024,SECRETARIA DE ESTADO DA SAÚDE,20/03/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO(S)  ,08.958.628/0002-97 - ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,"771.334,40",
25.205.000038.2024,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,20/03/2024,CONTRATAÇÃO DE SERVIÇO PARA ELABORAÇÃO DO PPR SERVIÇO DE DOSIMENTROS ,50.429.810/0001-36 - SAPRA LANDAUER SERVICO DE ASSESSORIA E PROTECAO RADIOLOGICA LTDA,"9.159,68",
31.201.000578.2024,SEIE/DEPARTAMENTO DE ESTRADAS DE RODAGEM,20/03/2024,AQUISIÇÃO DE LATAS DE TINTAS SPRAY E VEDA CALHA,36.441.702/0001-58 - EUCLIMAECIL ALMEIDA DE FREITAS 03183138476,"1.148,00",
25.301.000007.2024,SES/CENTRO ESPECIALIZADO EM REABILITACAO - CER IV,21/03/2024,AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO PREDIAL,06.317.686/0001-25 - GONÇALVES MATERIAIS DE CONSTRUÇÃO,"28.213,05",
25.000.020038.2024,SECRETARIA DE ESTADO DA SAÚDE,22/03/2024,AQUISIÇÃO EMERGENCIAL DE CADEIRA DE RODAS,18.485.178/0001-35 - LA COMERCIO DE PRODUTOS ORTOPEDICOS LTDA,"13.500,00",
27.201.000355.2024,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",22/03/2024,CONTRATAÇÃO DE PESSOA JURÍDICA PARA SERVIÇOS DE COFFEE BREAK E KIT LANCHES,23.525.290/0001-92 - THASSILA KAREN DOS SANTOS BEZERRA,"44.690,00",
21.204.000267.2024,SETDE/INSTITUTO DE METROLOGIA E QUALIDADE INDUSTRIAL DA PARAÍBA,25/03/2024,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA SAÚDE E SEGURANÇA DO TRABALHO,46.144.092/0001-84 - DOUTOR WORK LTDA,"6.750,00",
25.000.001423.2024,SECRETARIA DE ESTADO DA SAÚDE,25/03/2024,AQUISIÇÃO EMERGENCIAL DE EXAME ,06.069.729/0001-09 - MEDICA COMERCIO REPRESENTACAO E IMPORTACAO LTDA,"4.800,00",
