Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,SIGLA,Modalidade2,Data de Abertura,Objeto,ClassObjeto,Razão Social,Total Adjudicado,Valor
2.500.024.035.032.020,DISPENSA DE LICITAÇÃO,8/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (VENETOCLAX 100MG),8/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (VENETOCLAX 100MG),Compra de Medicamentos,15.800.545/0003-11 - ABBVIE FARMACEUTICA LTDA,413.46,413460
2.500.024.035.532.020,DISPENSA DE LICITAÇÃO,8/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,8/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,69.642,69642
250.007.045.662.020,DISPENSA DE LICITAÇÃO,8/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE AVENTAIS CIRÚRGICOS DESCARTÁVEIS PARA A SES,8/5/2020,AQUISIÇÃO EMERGENCIAL DE AVENTAIS CIRÚRGICOS DESCARTÁVEIS PARA A SES,Materiais e Equipamentos Hospitalares,40.950.354/0001-11 - R V COMERCIO DE CONFECÇOES LTDA,650,650000
2.500.015.045.272.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERG DE EMPRESA P CONCLUSÃO DA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA ELÉTRICA,9/5/2020,CONTRATAÇÃO EMERG DE EMPRESA P CONCLUSÃO DA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA ELÉTRICA,Obras e serviços de engenharia,30.676.883/0001-15 - GRAMARE CONSTRUÇÕES E SERVIÇOS EIRELI0,16.312,16312
2.500.027.035.212.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,9/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,Compra de Medicamentos,51.780.468/0002-68 - JANSSEN-CILAG FARMACEUTICA LTDA,16.543.779,16543779
2.500.029.045.512.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERG DE EMP P PRESTAÇÃO DE SERV DE INSTALAÇÃO DA REDE DE GASES MED NO HSP,9/5/2020,CONTRATAÇÃO EMERG DE EMP P PRESTAÇÃO DE SERV DE INSTALAÇÃO DA REDE DE GASES MED NO HSP,Obras e serviços de engenharia,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,455.683,455683
2.500.029.045.582.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MATERIAL DE LABORATÓRIO PARA O LACEN-PB ,9/5/2020,AQUISIÇÃO EMERGENCIAL DE MATERIAL DE LABORATÓRIO PARA O LACEN-PB ,Materiais e Equipamentos Hospitalares,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,190.036,190036
2.500.030.045.512.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE  CONDICIONADORES DE AR,9/5/2020,AQUISIÇÃO EMERGENCIAL DE  CONDICIONADORES DE AR,Obras e serviços de engenharia,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,279.193,279193
252.030.005.322.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,SES,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM REFRIGERAÇÃO,9/5/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM REFRIGERAÇÃO,Contratação de serviços em geral,20.182.641/0001-11 - ARILSON DA SILVA SANTANA-ME,49.952,49952
252.030.005.502.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,SES,AQUISIÇÃO DE CEFALOTINA SÓDICA,9/5/2020,AQUISIÇÃO DE CEFALOTINA SÓDICA,Compra de Medicamentos,35.251.929/0001-78 - JOSE CLAUDIO DA SILVA COMERCIO DE MEDICAMENTOS,180,180000
252.030.006.502.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,SES,AQUISIÇÃO DE LIXEIRA COM PEDAL E TAMPA DE 100L,9/5/2020,AQUISIÇÃO DE LIXEIRA COM PEDAL E TAMPA DE 100L,Materiais de Expediente,30.563.069/0001-94 - LIMP VIVA COMERCIO DE MATERIAL DE LIMPEZA LTDA,27,27000
252.030.006.612.020,DISPENSA DE LICITAÇÃO,9/5/2020,1,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,SES,AQUISIÇÃO DE LIXEIRA COM PEDAL E TAMPA DE 50L,9/5/2020,AQUISIÇÃO DE LIXEIRA COM PEDAL E TAMPA DE 50L,Materiais e Equipamentos Hospitalares,35.044.590/0001-39 - JR COMÉRCIO DE UTILIDADES EIRELI,17.805,17805
2.500.031.035.062.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MALEATO DE FLUVOXAMINA 100MG) ,11/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (MALEATO DE FLUVOXAMINA 100MG) ,Compra de Medicamentos,07.484.373/0001-24 - UNI HOSPITALAR LTDA,1.666,1666
250.006.035.592.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,28.788,28788
250.006.045.422.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,EMERG DE EMPR ESPECIAL P PREST DE SERV DE LOCAÇÃO E INSTA DE USINA DE GASES MEDICINAIS ,11/5/2020,EMERG DE EMPR ESPECIAL P PREST DE SERV DE LOCAÇÃO E INSTA DE USINA DE GASES MEDICINAIS ,Obras e serviços de engenharia,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,1.279.298,1279298
250.006.045.572.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,11/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,56.994.502/0027-79 - NOVARTIS BIOCIENCIAS SA,76.536,76536
252.100.000.072.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SES/HOSPITAL REGIONAL DE PATOS,SES,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE SEGURANÇA E APOIO,11/5/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE SEGURANÇA E APOIO,Contratação de serviços em geral,15.741.720/0001-85 - SECTRON CONSULTORIA DE SEGURANÇA LTDA,40,40000
252.100.000.092.020,DISPENSA DE LICITAÇÃO,11/5/2020,1,SES/HOSPITAL REGIONAL DE PATOS,SES,SERVIÇO DE LAVANDERIA HOSPITALAR,11/5/2020,SERVIÇO DE LAVANDERIA HOSPITALAR,Contratação de serviços em geral,20.546.182/0002-99 - SERVBRASIL SOLUCOES EM ALIMENTACAO,,
25.239.110.520.202.000,DISPENSA DE LICITAÇÃO,11/5/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,CAMA HOSPITALAR,11/5/2020,CAMA HOSPITALAR,Materiais e Equipamentos Hospitalares,02.393.076/0001-50 - ELAINE GOMES GALVÃO - EPP,69,69000
250.001.045.982.020,DISPENSA DE LICITAÇÃO,12/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (OCRELIZUMABE 300MG),12/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (OCRELIZUMABE 300MG),Compra de Medicamentos,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,98.413,98413
2.500.011.035.762.020,DISPENSA DE LICITAÇÃO,12/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,12/5/2020,EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME CGH-ARRAY,Exame Hospitalar,60.840.055/0001-31 - FLEURY S.A.,2.2,2200
2.500.015.046.262.020,DISPENSA DE LICITAÇÃO,12/5/2020,6,SECRETARIA DE ESTADO DA SAÚDE,SES,EMERGENCIAL DE MOBILIÁRIOS DIVERSOS,12/5/2020,EMERGENCIAL DE MOBILIÁRIOS DIVERSOS,Compra de material permanente,08.493.422/0001-58 - GLOBAL SOLUCOES EMPRESARIAIS EIRELI - EPP,716.06,716060
2.500.017.036.182.020,DISPENSA DE LICITAÇÃO,12/5/2020,3,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUIS EMERG DE MED(ACITRETINA10MG,,,Compra de Medicamentos,,,
2.500.024.035.522.020,DISPENSA DE LICITAÇÃO,12/5/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,12/5/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,Compra de Medicamentos,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,11.581,11581
230.000.000.032.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,CORPO DE BOMBEIROS MILITAR DA PARAÍBA,BMPB,AQUISIÇÃO DE MÁSCARA PFF2/N95 ,13/05/2020,AQUISIÇÃO DE MÁSCARA PFF2/N95 ,Materiais e Equipamentos Hospitalares,15.453.449/0001-82 - RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE EIRELI,115,115000
239.010.000.612.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,CORPO DE BOMBEIROS MILITAR DA PARAÍBA,BMPB,CONTRATAÇÃO DE ACESSO A REPAD,13/05/2020,CONTRATAÇÃO DE ACESSO A REPAD,Serviços de TI,09.189.499/0001-00 - COMPANHIA DE PROC.DE DADOS DA PARAIBA - CODATA,100.352,100352
2.500.026.035.242.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,13/05/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,Compra de Medicamentos,60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,146.957,146957
250.009.045.082.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERG DE CASSETES RESPIRATÓRIOS COMPATÍVEIS COM VENTILADORES PULMONARES ,13/05/2020,AQUISIÇÃO EMERG DE CASSETES RESPIRATÓRIOS COMPATÍVEIS COM VENTILADORES PULMONARES ,Materiais e Equipamentos Hospitalares,13.272.584/0001-04 - RESMEDICAL EQUIPAMENTOS HOSPITALARES LTDA,500,500000
252.150.000.782.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,SES,REFORMA ESTRUTURAL NO PREDIO CEREST,13/05/2020,REFORMA ESTRUTURAL NO PREDIO CEREST,Obras e serviços de engenharia,33.445.797/0001-90 - NAL CONSTRUÇOES E SERVIÇOS EIRELE,227,227000
252.160.009.082.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,SES,SERVIÇO DE SANITIZAÇÃO DA ALA DE COVID - 19,13/05/2020,SERVIÇO DE SANITIZAÇÃO DA ALA DE COVID - 19,Contratação de serviços em geral,09.175.454/0001-78 - HAVEL DEDETIZAÇÕES LTDA,18.48,18480
252.160.009.652.020,DISPENSA DE LICITAÇÃO,13/05/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,SES,SERVIÇO DE LOCAÇÃO DE CR PARA RAIO - X,13/05/2020,SERVIÇO DE LOCAÇÃO DE CR PARA RAIO - X,Materiais de Expediente,01.141.468/0001-69 - MEDCALL COMERCIO E SERVIÇOS DE EQUIPAMENTOS MÉDICOS LTDA,24,24000
2.500.014.045.092.020,DISPENSA DE LICITAÇÃO,14/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO DE MEDICAMENTO (ECULIZUMABE 300MG),,,Compra de Medicamentos,,,
252.160.006.622.020,DISPENSA DE LICITAÇÃO,14/05/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,SES,AQUISIÇÃO DE MÁSCARAS E VISEIRAS,14/05/2020,AQUISIÇÃO DE MÁSCARAS E VISEIRAS,Materiais e Equipamentos Hospitalares,34.338.330/0001-03 - GARDEIS COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAIS LTDA,161.6,161600
252.390.002.742.020,DISPENSA DE LICITAÇÃO,14/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,14/05/2020,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,Contratação de serviços em geral,08.705.015/0001-67 - WEIDER SEGURANCA PRIVADA EIRELI,647.652,647652
252.390.002.752.020,DISPENSA DE LICITAÇÃO,14/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE MEDICAMENTOS,14/05/2020,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,32,32000
252.390.002.772.020,DISPENSA DE LICITAÇÃO,14/05/2020,4,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE MEDICAMENTOS,14/05/2020,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,19..34.9.0/09/0-00 - SAFE SUPORTE A VIDA E COMÉRCIO INTERNACIONAL LTDA,54.066,54066
2.500.013.035.822.020,DISPENSA DE LICITAÇÃO,15/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (IVABRADINA 7,,,Compra de Medicamentos,,,
2.500.028.045.022.020,DISPENSA DE LICITAÇÃO,15/05/2020,3,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISÇÃO DE INSTRUMENTAIS,,,Materiais e Equipamentos Hospitalares,,,
2.500.028.045.032.020,DISPENSA DE LICITAÇÃO,15/05/2020,4,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE EQUIPAMENTOS MÉDICOS,15/05/2020,AQUISIÇÃO EMERGENCIAL DE EQUIPAMENTOS MÉDICOS,Materiais e Equipamentos Hospitalares,61.100.244/0001-30 - FANEM LTDA,290.985,290985
252.030.005.302.020,DISPENSA DE LICITAÇÃO,15/05/2020,1,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,SES,CONTRATAÇÃO DE EMPRESA PARA SERVIÇOS LABORATORIAIS ,15/05/2020,CONTRATAÇÃO DE EMPRESA PARA SERVIÇOS LABORATORIAIS ,Contratação de serviços em geral,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,382.764,382764
300.002.768.512.020,DISPENSA DE LICITAÇÃO,15/05/2020,1,ENCARGOS GERAIS DO ESTADO,SEFAZ,LOCAÇÃO DE IMÓVEL ESCOLA EEEFM DR. JOSÉ DUARTE FILHO,15/05/2020,LOCAÇÃO DE IMÓVEL ESCOLA EEEFM DR. JOSÉ DUARTE FILHO,Locação de Imóvel,525.946.454-00 - MANOEL ALVES DA SILVA,3.9,3900
2.500.018.035.272.020,DISPENSA DE LICITAÇÃO,18/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUIS EMERG DE PRIMERS E PROBES PARA DIAGNÓSTICO DE VÍRUS RESPIRATÓRIOS PELA METODOLOGIA PCR,18/05/2020,AQUIS EMERG DE PRIMERS E PROBES PARA DIAGNÓSTICO DE VÍRUS RESPIRATÓRIOS PELA METODOLOGIA PCR,Exame Hospitalar,13.026.523/0001-59 - MULTICARE MEDICAL COM. DIST. PART. EXP. E IMPOR. LTDA.,147.31,147310
2.500.025.115.572.020,DISPENSA DE LICITAÇÃO,18/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE SERINGAS PARA O NÚCLEO ESTADUAL DE IMUNIZAÇÃO ,18/05/2020,AQUISIÇÃO EMERGENCIAL DE SERINGAS PARA O NÚCLEO ESTADUAL DE IMUNIZAÇÃO ,Materiais e Equipamentos Hospitalares,03.426.484/0001-23 - SALDANHA RODRIGUES LTDA,573.5,573500
25.000.704559.2020R1,DISPENSA DE LICITAÇÃO,18/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA ELÉTRICA NO HOSPITAL DE CAMPANHA,18/05/2020,EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA ELÉTRICA NO HOSPITAL DE CAMPANHA,Obras e serviços de engenharia,24.525.869/0001-18 - CONTERMO CONSTRUÇÕES E SERVIÇOS LTDA.,152.088,152088
252.390.002.372.020,DISPENSA DE LICITAÇÃO,18/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,18/05/2020,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,Contratação de serviços em geral,09.291.683/0001-58 - NEFRUZA SERVICOS NEFROLOGICOS FIUZA CHAVES LTDA - EPP,991.5,991500
252.390.002.882.020,DISPENSA DE LICITAÇÃO,18/05/2020,2,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,MATERIAL DE EXPEDIENTE,18/05/2020,MATERIAL DE EXPEDIENTE,Materiais de Expediente,20.873.342/0001-23 - HC COMERCIO DE PAPELARIA  E SERVICOS - EIRELI EPP,21.265,21265
252.390.002.952.020,DISPENSA DE LICITAÇÃO,18/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE CONEXÃO PARA GASES,18/05/2020,AQUISIÇÃO DE CONEXÃO PARA GASES,Obras e serviços de engenharia,00.331.788/0024-05 - AIR LIQUIDE BRASIL LTDA,1.48,1480
150.000.000.282.020,DISPENSA DE LICITAÇÃO,19/05/2020,2,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,PMPB,AQUISIÇÃO DE AERONAVE REMOTAMENTE TRIPULADA (RPAS/DRONES),19/05/2020,AQUISIÇÃO DE AERONAVE REMOTAMENTE TRIPULADA (RPAS/DRONES),Obras e serviços de engenharia,05.316.271/0001-74 - QUARTZO ENGENHARIA DE DEFESA,,
220.001.168.972.020,DISPENSA DE LICITAÇÃO,19/05/2020,4,SECRETARIA DE ESTADO DA EDUCAÇÃO E DA CIÊNCIA E TECNOLOGIA,SEE,AQUISIÇÃO DE CESTAS BÁSICAS PARA ALUNOS DA REDE ESTADUAL DE ENSINO,19/05/2020,AQUISIÇÃO DE CESTAS BÁSICAS PARA ALUNOS DA REDE ESTADUAL DE ENSINO,Alimentação para quentinhas e outros,32.470.000/0001-41 - MAIS DO DIA SUPERMERCADO LTDA,48.272.336,48272336
2.500.011.055.642.020,DISPENSA DE LICITAÇÃO,19/05/2020,2,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO DE CONDICIONADORES DE AR PARA O HOSPITAL FRANCISCO BRASILEIRO,19/05/2020,AQUISIÇÃO DE CONDICIONADORES DE AR PARA O HOSPITAL FRANCISCO BRASILEIRO,Materiais e Equipamentos Hospitalares,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,145.064,145064
2.500.013.055.722.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO DE EMP ESPEC P REFORMA E AMPLIAÇÃO DE LEITOS DE INTERNAÇÃO E UTI,19/05/2020,CONTRATAÇÃO DE EMP ESPEC P REFORMA E AMPLIAÇÃO DE LEITOS DE INTERNAÇÃO E UTI,Obras e serviços de engenharia,30.676.883/0001-15 - GRAMARE CONSTRUÇÕES E SERVIÇOS EIRELI,328.364,328364
250.007.045.722.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE TERMOCICLADOR PARA PCR,19/05/2020,AQUISIÇÃO EMERGENCIAL DE TERMOCICLADOR PARA PCR,Materiais e Equipamentos Hospitalares,63.067.904/0006-69 - LIFE TECHNOLOGIES BRASIL COMERCIO E IND DE PROD PARA BIOTECNOLOGIA LTDA,245,245000
250.007.055.242.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE GASES MEDICINAIS,19/05/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE GASES MEDICINAIS,Materiais e Equipamentos Hospitalares,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,350.143,350143
252.390.002.982.020,DISPENSA DE LICITAÇÃO,19/05/2020,2,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE MEDICAMENTOS,19/05/2020,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,03.817.043/0001-52 - PHARMAPLUS  LTDA,734,734
252.390.002.992.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE MEDICAMENTOS,19/05/2020,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,126.77,126770
252.390.003.022.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,SOFTWARE DE GESTÃO HOSPITALAR,19/05/2020,SOFTWARE DE GESTÃO HOSPITALAR,Serviços de TI,01.790.382/0001-67 - VITAI SOLUÇÕES LTDA,47.04,47040
252.390.003.032.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,PRESTAÇÃO DE SERVIÇO CONTRATAÇÃO DE LINK,19/05/2020,PRESTAÇÃO DE SERVIÇO CONTRATAÇÃO DE LINK,Serviços de telefonia e internet,08.720.054/0001-33 - INORPEL INDUSTRIA NORDESTINA DE PRODUTOS ELETRICOS LTDA,15,15000
252.390.003.052.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,OUTSOURCING DE  IMPRESSORAS,19/05/2020,OUTSOURCING DE  IMPRESSORAS,Serviços Gráficos e de Impressão,09.156.195/0001-38 - ALFAPRINT SOLUCOES LTDA,40.2,40200
252.390.003.062.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,SISTEMA DE INFORMAÇÃO RADIOLOGICA,19/05/2020,SISTEMA DE INFORMAÇÃO RADIOLOGICA,Serviços de TI,11.320.982/0001-15 - INOVAPAR,27,27000
252.390.003.102.020,DISPENSA DE LICITAÇÃO,19/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,AQUISIÇÃO DE MEDICAMENTOS,19/05/2020,AQUISIÇÃO DE MEDICAMENTOS,Compra de Medicamentos,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,17.016,17016
2.500.014.045.082.020,DISPENSA DE LICITAÇÃO,20/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,20/05/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,Compra de Medicamentos,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,3.272,3272
2.500.015.055.512.020,DISPENSA DE LICITAÇÃO,20/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRAT. EMERG.  DE SERV. DE MANUT. PREVENTIVA,,,Conserto e Manutenção de equipamentos,,,
250.004.055.192.020,DISPENSA DE LICITAÇÃO,20/05/2020,1,SECRETARIA DE ESTADO DA SAÚDE,SES,AQUISIÇÃO EMERGENCIAL DE CONDICIONADORES DE AR TIPO SPLIT ,20/05/2020,AQUISIÇÃO EMERGENCIAL DE CONDICIONADORES DE AR TIPO SPLIT ,Materiais de Expediente,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,100.514,100514
252.370.000.392.020,DISPENSA DE LICITAÇÃO,20/05/2020,1,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),SES,PRESTAÇÃO DE SERVIÇOS DE EXAMES LABORATORIAIS,20/05/2020,PRESTAÇÃO DE SERVIÇOS DE EXAMES LABORATORIAIS,Exame Hospitalar,10.485.989/0001-24 - MEDICAL CENTER- COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - ME,179.988,179988
252.390.003.092.020,DISPENSA DE LICITAÇÃO,20/05/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,SES,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,20/05/2020,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,Contratação de serviços em geral,17.018.554/0001-19 - VLADMIR DE MATOS LEITÃO - ME,3.6,3600
2.500.011.055.702.020,DISPENSA DE LICITAÇÃO,21/05/2020,2,SECRETARIA DE ESTADO DA SAÚDE,SES,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,21/05/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,Contratação de serviços em geral,24.525.869/0001-18 - CONTERMO CONSTRUÇOES E SERVIÇOS LTDA,322.375,322375
