Textbox2,NumPregão2,DataCriacao1,NumParticipantes,Orgao2,Modalidade2,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor
252.340.000.272.020,DISPENSA DE LICITAÇÃO,30/06/2020,5,LACEN - LABORATORIO CENTRAL DE SAÚDE PÚBLICA,CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE INSUMO PARA REALIZAÇÃO DE DIAGNÓSTICOS DE COVID-19 ,LACEN - LABORATORIO CENTRAL DE SAÚDE PÚBLICA,30/06/2020,CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE INSUMO PARA REALIZAÇÃO DE DIAGNÓSTICOS DE COVID-19 ,12.655.453/0001-35 - FORLAB,287.572,287572
252.390.004.722.020,DISPENSA DE LICITAÇÃO,30/06/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,30/06/2020,MATERIAL HOSPITALAR,07.778.725/0001-54 - EQUIPMED COMÉRCIO DE PRODUTOS MÉDICOS E SERVIÇOS DE MANUTENÇÃO EM MÁQUINAS E APARELHOS LTDA,6.94,6940
252.390.004.772.020,DISPENSA DE LICITAÇÃO,30/06/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,30/06/2020,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,21.611.333/3000-16 - ECOAMBIENTAL CONTROLE DE PRAGAS LTDA,24,24000
300.000.076.962.020,DISPENSA DE LICITAÇÃO,30/06/2020,1,ENCARGOS GERAIS DO ESTADO,LOCAÇÃO DE IMÓVEL ALMOX. DO HEMOCENTRO DA PARAÍBA E DA GERÊNCIA EXECUTIVA DE VIGILÂNCIA EM SAÚDE,ENCARGOS GERAIS DO ESTADO,30/06/2020,LOCAÇÃO DE IMÓVEL ALMOX. DO HEMOCENTRO DA PARAÍBA E DA GERÊNCIA EXECUTIVA DE VIGILÂNCIA EM SAÚDE,24.282.188/0001-76 - JVR PARTICIPAÇÕES E ADMINISTRAÇÃO LTDA,9,9000
2.500.021.055.832.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,SECRETARIA DE ESTADO DA SAÚDE,1/7/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,96.103,96103
250.009.065.662.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,CONTR EMERG DE EMPRESA DE ENGENHARIA P EXEC DE SERV DE ESTRUTURA P RECEBIMENTO DO NOVO TRANSFORMADOR,SECRETARIA DE ESTADO DA SAÚDE,1/7/2020,CONTR EMERG DE EMPRESA DE ENGENHARIA P EXEC DE SERV DE ESTRUTURA P RECEBIMENTO DO NOVO TRANSFORMADOR,17.421.938/0001-88 - DIAS CONSTRUÇÕES LTDA - EPP,254.543,254543
252.130.004.522.020,DISPENSA DE LICITAÇÃO,1/7/2020,3,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,15.218.561/0001-39 - NNMED - DISTRIBUICAO,,
252.130.004.532.020,DISPENSA DE LICITAÇÃO,1/7/2020,3,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,15.218.561/0001-39 - NNMED - DISTRIBUICAO,,
252.130.004.542.020,DISPENSA DE LICITAÇÃO,1/7/2020,2,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,19.125.796/0001-37 - NORDMARKET COMERCIO DE PRODUTOS HOSPITALARES LTDA,5.712,5712
252.130.004.552.020,DISPENSA DE LICITAÇÃO,1/7/2020,5,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,9.749,9749
252.130.004.562.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,10.495.121/0001-05 - VIA MEDICAMENTOS COMÉRCIO E CONSULTORIA EM SAÚDE LTDA,844,844
252.130.004.582.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR PARA ALA COVID-19,15.218.561/0001-39 - NNMED - DISTRIBUICAO,,
25.213.000461.2020R1,DISPENSA DE LICITAÇÃO,1/7/2020,3,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MEDICAMENTOS PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MEDICAMENTOS PARA ALA COVID-19,02.977.362/0001-62 - A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA,60.619,60619
252.130.004.622.020,DISPENSA DE LICITAÇÃO,1/7/2020,4,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,AQUISIÇÃO DE MEDICAMENTOS PARA ALA COVID-19,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,1/7/2020,AQUISIÇÃO DE MEDICAMENTOS PARA ALA COVID-19,15.218.561/0001-39 - NNMED - DISTRIBUICAO,,
252.150.000.802.020,DISPENSA DE LICITAÇÃO,1/7/2020,2,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,SERVIÇO DE DOSIMETRIA DE RADIAÇÕES,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,1/7/2020,SERVIÇO DE DOSIMETRIA DE RADIAÇÕES,04.462.687/0001-38 - CHRISTIANNY MAROJA,14.407,14407
252.390.004.822.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,1/7/2020,MATERIAL HOSPITALAR,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,780,780
300.000.646.652.020,DISPENSA DE LICITAÇÃO,1/7/2020,1,ENCARGOS GERAIS DO ESTADO,LOCAÇÃO DE IMÓVEL 9ª GERÊNCIA REGIONAL DE EDUCAÇÃO,ENCARGOS GERAIS DO ESTADO,1/7/2020,LOCAÇÃO DE IMÓVEL 9ª GERÊNCIA REGIONAL DE EDUCAÇÃO,760.810.014-15 -  JORGE MURILO LUCENA MESSIAS,12,12000
250.009.065.242.020,DISPENSA DE LICITAÇÃO,2/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,SECRETARIA DE ESTADO DA SAÚDE,2/7/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,06.081.203/0001-36 - HOSP-LOG COMERCIO DE PRODUTOS HOPITALARES LTDA,1.08,1080
252.060.002.882.020,DISPENSA DE LICITAÇÃO,2/7/2020,1,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE SORO,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,2/7/2020,AQUISIÇÃO DE SORO,06.628.333/0001-46 - FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA,215.76,215760
252.290.001.942.020,DISPENSA DE LICITAÇÃO,2/7/2020,,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,LOCAÇÃO DE EQUIPAMENTOS E REAGENTES PARA EXAMES LABORATORIAIS DESTINADOS AOS PACIENTES COVID-19,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,2/7/2020,LOCAÇÃO DE EQUIPAMENTOS E REAGENTES PARA EXAMES LABORATORIAIS DESTINADOS AOS PACIENTES COVID-19,Razão Social não encontrada,76.5,76500
270.000.022.552.020,DISPENSA DE LICITAÇÃO,2/7/2020,1,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE KIT DE LIMPEZA- CONTRATAÇÃO EMERGENCIAL. ,SECRETARIA DE ESTADO DE DESENVOLVIMENTO HUMANO,2/7/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE KIT DE LIMPEZA- CONTRATAÇÃO EMERGENCIAL. ,09.428.755/0001-66 - ROGERIO DA SILVA ARAUJO,162.5,162500
252.160.006.952.020,DISPENSA DE LICITAÇÃO,3/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,3/7/2020,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO,23.708.247/0001-62 - MAIOR CLEAN COMERCIO VAREJISTA DE INSTRUMENTOS CIRURGICOS EIRELI - ME,26.6,26600
252.390.004.922.020,DISPENSA DE LICITAÇÃO,3/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,INSUMOS PARA MANUTENÇÃO,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,3/7/2020,INSUMOS PARA MANUTENÇÃO,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,6.66,6660
252.390.004.962.020,DISPENSA DE LICITAÇÃO,3/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,RECARGA DE  EXTINTORES,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,3/7/2020,RECARGA DE  EXTINTORES,02.502.563/0001-03 - GEORGE GERALDO CAMPELO,7.074,7074
252.390.004.982.020,DISPENSA DE LICITAÇÃO,4/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL DE EXPEDIENTE,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/7/2020,MATERIAL DE EXPEDIENTE,34.387.726/0001-40 - BRUCE LEE DE LIMA MONTEIRO,5.313,5313
252.390.005.062.020,DISPENSA DE LICITAÇÃO,4/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/7/2020,AQUISIÇÃO DE MEDICAMENTOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,25.97,25970
252.390.005.072.020,DISPENSA DE LICITAÇÃO,4/7/2020,3,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/7/2020,AQUISIÇÃO DE MEDICAMENTOS,20.650.862/0001-77 - STOCK MED,190.525,190525
252.390.005.102.020,DISPENSA DE LICITAÇÃO,4/7/2020,4,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,4/7/2020,AQUISIÇÃO DE MEDICAMENTOS,11.260.846/0001-87 - ANBIOTON IMPORTADORA LTDA,8.824,8824
150.000.000.042.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,CONCURSO PÚBLICO CFO 2021 - PMPB,POLÍCIA MILITAR DO ESTADO DA PARAÍBA,6/7/2020,CONCURSO PÚBLICO CFO 2021 - PMPB,33.641.663/0001-44 - FUNDACAO GETULIO VARGAS,2.125.000.000,2125000000
2.500.018.055.192.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERG DE MED (ROFLUMILAST 500MCG,,,,,,
2.500.022.055.462.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA EXECUÇÃO DA INSTALAÇÃO E LOCAÇÃO DE USINA ,SECRETARIA DE ESTADO DA SAÚDE,6/7/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA EXECUÇÃO DA INSTALAÇÃO E LOCAÇÃO DE USINA ,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,410.835,410835
250.004.065.082.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,SECRETARIA DE ESTADO DA SAÚDE,6/7/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,312.252,312252
252.050.010.222.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA, AQUISIÇÃO DE REAGENTES LABORATORIAIS (COM COMODATO DE MAQUINAS),SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,6/7/2020, AQUISIÇÃO DE REAGENTES LABORATORIAIS (COM COMODATO DE MAQUINAS),11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,207.36,207360
252.060.002.902.020,DISPENSA DE LICITAÇÃO,6/7/2020,2,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,6/7/2020,AQUISIÇÃO DE MEDICAMENTOS INJETÁVEIS,08.778.201/0001-26 - DROGAFONTE LTDA,65.2,65200
252.160.007.122.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO ,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,6/7/2020,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO ,30.851.868/0001-66 - VALDENOR DE ABREU CAVALCANTI EIRELI ME,21.258,21258
252.160.007.752.020,DISPENSA DE LICITAÇÃO,6/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL PARA DESINFECÇÃO E HIGIENIZAÇÃO,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,6/7/2020,AQUISIÇÃO DE MATERIAL PARA DESINFECÇÃO E HIGIENIZAÇÃO,23.708.247/0001-62 - MAIOR CLEAN COMERCIO VAREJISTA DE INSTRUMENTOS CIRURGICOS EIRELI - ME,4.775,4775
2.500.019.065.412.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,SECRETARIA DE ESTADO DA SAÚDE,AQUIS EMERGENCIAL DE MEDICAMENTOS (ALFAEPOETINA HIMNA RECOMBINANTE 4.000UI E 40.000UI),SECRETARIA DE ESTADO DA SAÚDE,7/7/2020,AQUIS EMERGENCIAL DE MEDICAMENTOS (ALFAEPOETINA HIMNA RECOMBINANTE 4.000UI E 40.000UI),11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,48.074,48074
252.160.007.062.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE PALLET ESTRADO PLÁSTICO MODULAR,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,7/7/2020,AQUISIÇÃO DE PALLET ESTRADO PLÁSTICO MODULAR,09.183.224/0001-50 - O ESCOLAR COMERCIO E SERVICOS LTDA,16.24,16240
252.160.011.002.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MESAS E CADEIRAS PLÁSTICAS PARA O HOSPITAL DE CLÍNICAS,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,7/7/2020,AQUISIÇÃO DE MESAS E CADEIRAS PLÁSTICAS PARA O HOSPITAL DE CLÍNICAS,04.222.335/0001-05 - EDILENE IMPERIANO DOS SANTOS ME,4.509,4509
252.160.013.462.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE NOBREAK PARA CONEXÃO SEGURA DOS EQUIPAMENTOS DESTINADA AO COMBATE AO COVID-19,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,7/7/2020,AQUISIÇÃO DE NOBREAK PARA CONEXÃO SEGURA DOS EQUIPAMENTOS DESTINADA AO COMBATE AO COVID-19,21.215.742/0001-04 - MIRLA ROSE GOMES DA SILVA,7.99,7990
252.380.000.132.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,SES/HOSPITAL GERAL DE MAMANGUAPE,AQUISIÇÃO DE HORTIFRUTIGRANJEIROS,SES/HOSPITAL GERAL DE MAMANGUAPE,7/7/2020,AQUISIÇÃO DE HORTIFRUTIGRANJEIROS,11.755.254/0001-36 - ERINALDO SEVERINO BATISTA,86.204,86204
300.000.050.652.020,DISPENSA DE LICITAÇÃO,7/7/2020,1,ENCARGOS GERAIS DO ESTADO,LOCAÇÃO DE IMÓVEL SETOR DE ARQ. MÉDICOS E ESTATÍSTICOS DO HOSP. SENADOR HUMBERTO LUCENA,ENCARGOS GERAIS DO ESTADO,7/7/2020,LOCAÇÃO DE IMÓVEL SETOR DE ARQ. MÉDICOS E ESTATÍSTICOS DO HOSP. SENADOR HUMBERTO LUCENA,07.086.361/0001-41 - NOVO RUMO EMPREENDIMENTOS LTDA,5.4,5400
252.050.010.292.020,DISPENSA DE LICITAÇÃO,8/7/2020,1,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,AQUISIÇÃO DE MEDICAMENTOS,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,8/7/2020,AQUISIÇÃO DE MEDICAMENTOS,21.381.761/0001-00 - SIX DISTRIBUIDORA HOSPITALAR LTDA,62.08,62080
252.160.007.262.020,DISPENSA DE LICITAÇÃO,8/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE SACOLA PARA ACONDICIONAR MÁSCARAS PFF2,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,8/7/2020,AQUISIÇÃO DE SACOLA PARA ACONDICIONAR MÁSCARAS PFF2,04.222.335/0001-05 - EDILENE IMPERIANO DOS SANTOS,1.5,1500
252.160.010.692.020,DISPENSA DE LICITAÇÃO,8/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL DE LIMPEZA E HIGIENE DESTINADO AO COMBATE AO COVID-19,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,8/7/2020,AQUISIÇÃO DE MATERIAL DE LIMPEZA E HIGIENE DESTINADO AO COMBATE AO COVID-19,23.708.247/0001-62 - MAIOR CLEAN COMERCIO VAREJISTA DE INSTRUMENTOS CIRURGICOS EIRELI - ME,15.88,15880
252.160.010.892.020,DISPENSA DE LICITAÇÃO,8/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO DESTINADO AO COMBATE AO COVID-19,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,8/7/2020,AQUISIÇÃO DE MATERIAL DE HIGIENIZAÇÃO DESTINADO AO COMBATE AO COVID-19,23.708.247/0001-62 - MAIOR CLEAN COMERCIO VAREJISTA DE INSTRUMENTOS CIRURGICOS EIRELI - ME,29.946,29946
252.050.010.312.020,DISPENSA DE LICITAÇÃO,9/7/2020,1,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,AQUISIÇÃO DE MEDICAMENTOS,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,9/7/2020,AQUISIÇÃO DE MEDICAMENTOS,21.381.761/0001-00 - SIX DISTRIBUIDORA HOSPITALAR LTDA,52.89,52890
252.160.009.032.020,DISPENSA DE LICITAÇÃO,9/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL HOSPITALAR (AVENTAL) DESTINADO AO COMBATE AO COVID-19,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,9/7/2020,AQUISIÇÃO DE MATERIAL HOSPITALAR (AVENTAL) DESTINADO AO COMBATE AO COVID-19,40.950.354/0010-02 - RV COMÉRCIO DE CONFECÇÕES LTDA,158,158000
252.380.000.152.020,DISPENSA DE LICITAÇÃO,9/7/2020,1,SES/HOSPITAL GERAL DE MAMANGUAPE,SERVIÇO DE OUTSOURCING DE IMPRESSORAS,SES/HOSPITAL GERAL DE MAMANGUAPE,9/7/2020,SERVIÇO DE OUTSOURCING DE IMPRESSORAS,09.156.195/0001-38 - ALFAPRINT SOLUCOES LTDA,20.4,20400
252.390.005.212.020,DISPENSA DE LICITAÇÃO,9/7/2020,3,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,9/7/2020,AQUISIÇÃO DE MEDICAMENTOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,5.05,5050
252.390.005.232.020,DISPENSA DE LICITAÇÃO,9/7/2020,3,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,,,,,,
252.390.005.282.020,DISPENSA DE LICITAÇÃO,9/7/2020,3,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,,,,,,
252.390.005.302.020,DISPENSA DE LICITAÇÃO,9/7/2020,3,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,AQUISIÇÃO DE MEDICAMENTOS,,,,,,
252.390.005.312.020,DISPENSA DE LICITAÇÃO,9/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR ENGENHARIA,,,,,,
252.160.007.052.020,DISPENSA DE LICITAÇÃO,10/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAL MEDICO (MÁSCARA DESCARTÁVEL),,,,,,
252.160.009.402.020,DISPENSA DE LICITAÇÃO,10/7/2020,1,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,AQUISIÇÃO DE MATERIAIS DIVERSOS (DESCARTÁVEIS E EXPEDIENTE),,,,,,
252.390.005.392.020,DISPENSA DE LICITAÇÃO,10/7/2020,2,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,,,,,,
252.390.005.402.020,DISPENSA DE LICITAÇÃO,10/7/2020,2,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,,,,,,
252.390.005.472.020,DISPENSA DE LICITAÇÃO,10/7/2020,2,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,,,,,,
252.390.005.482.020,DISPENSA DE LICITAÇÃO,10/7/2020,1,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,MATERIAL HOSPITALAR,,,,,,
250.001.065.272.020,DISPENSA DE LICITAÇÃO,13/07/2020,1,SECRETARIA DE ESTADO DA SAÚDE,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ETOSSUXIMIDA 50MG/ML) ,,,,,,
252.150.000.822.020,DISPENSA DE LICITAÇÃO,13/07/2020,1,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,AQUISIÇÃO DE PULSEIRA DE IDENTIFICAÇÃO COM COMODATO DE IMPRESSORA,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,13/07/2020,AQUISIÇÃO DE PULSEIRA DE IDENTIFICAÇÃO COM COMODATO DE IMPRESSORA,10.367.226/0001-89 - W.C. ARRUDA COMERCIO E SERVIÇOS LTDA,9.36,9360
252.380.000.172.020,DISPENSA DE LICITAÇÃO,13/07/2020,1,SES/HOSPITAL GERAL DE MAMANGUAPE,SERVIÇO DE  LIMPEZA DE FOSSA E DESENTUPIMENTO E MANUTENÇÃO DE CAIXAS COLETORAS,SES/HOSPITAL GERAL DE MAMANGUAPE,13/07/2020,SERVIÇO DE  LIMPEZA DE FOSSA E DESENTUPIMENTO E MANUTENÇÃO DE CAIXAS COLETORAS,11.500.957/0001-13 - ALEXANDRE LAURENTINO DA SILVA EIRELI-EPP,800,800
252.380.000.182.020,DISPENSA DE LICITAÇÃO,13/07/2020,1,SES/HOSPITAL GERAL DE MAMANGUAPE, SERVIÇO DE ABASTECIMENTO DE ÁGUA EM CARRO PIPA,SES/HOSPITAL GERAL DE MAMANGUAPE,13/07/2020, SERVIÇO DE ABASTECIMENTO DE ÁGUA EM CARRO PIPA,11.500.957/0001-13 - ALEXANDRE LAURENTINO DA SILVA EIRELI-EPP,470,470
252.380.000.192.020,DISPENSA DE LICITAÇÃO,13/07/2020,1,SES/HOSPITAL GERAL DE MAMANGUAPE,INSTALAÇÃO E MANUTENÇÃO DE SOFTWARE DE GERENCIAMENTO HOSPITALAR,SES/HOSPITAL GERAL DE MAMANGUAPE,13/07/2020,INSTALAÇÃO E MANUTENÇÃO DE SOFTWARE DE GERENCIAMENTO HOSPITALAR,33.692.733/0001-93 - CORIOLANO ANTONIO DE LEMOS SA,21.6,21600
