id,Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado,month,year,year_month,Siglas,ClasseObj,CagGasto
1064,25.239.000674.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,14/08/2020,MATERIAL HOSPITALAR OPME,06.204.103/0001-50 - R S DOS SANTOS,"12.554,00",12554,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1065,25.239.000675.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,14/08/2020,MATERIAL HOSPITALAR OPME,06.204.103/0001-50 - R S DOS SANTOS,"12.554,00",12554,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1066,25.239.000677.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,15/08/2020,AQUISIÇÃO DE REAGENTES ,10.647.227/0001-87 - TUPAN SAUDE CENTER LTDA - ME,"1.400,00",1400,Aug,2020,2020-08,SES,Materiais de Expediente,Abaixo de 50 mil
1067,25.000.2606581.2020,SECRETARIA DE ESTADO DA SAÚDE,17/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ARIPIPRAZOL  15MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"3.981,60",3981.6,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1068,25.000.409672.2020,SECRETARIA DE ESTADO DA SAÚDE,17/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700,Aug,2020,2020-08,SES,Contratação de serviços em geral,Abaixo de 50 mil
1069,27.201.001600.2020,"SEDH/FUNDAÇÃO DE DESENVOLVIMENTO DA CRIANÇA E DO ADOLESCENTE ""ALICE DE ALMEIDA""",17/08/2020,"SERVIÇO (MURO, FOSSA E VEGETAÇÃO).",34.797.188/0001-62 - RAVI DELGADO GUEDES,"39.920,00",39920,Aug,2020,2020-08,SEDH,Obras e serviços de engenharia,Abaixo de 50 mil
1070,28.000.000097.2020,PROJETO COOPERAR,17/08/2020, LOCAÇÃO DE IMÓVEL PARA REGIONAL DE SUMÉ-PB.,004.960.224-15 - CARLOS HERMANO MAYER,"222.000,00",222000,Aug,2020,2020-08,PROJETO COOPERAR,Locação de Imóvel,Acima de 150mil
1071,25.000.2307509.2020,SECRETARIA DE ESTADO DA SAÚDE,18/08/2020,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL ,29.329.985/0001-85 - CENUTRI COMERCIO E SERVICOS DE NUTRICAO LTDA,"9.384,00",9384,Aug,2020,2020-08,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
1072,25.000.711578.2020,SECRETARIA DE ESTADO DA SAÚDE,18/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME ,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"8.847,00",8847,Aug,2020,2020-08,SES,Exame Hospitalar,Abaixo de 50 mil
1073,25.220.000089.2020,SES/HOSPITAL DISTRITAL DE POMBAL,18/08/2020,AQUISIÇÃO DE MATERIAIS DE EPI S PARA ALA COVID-19,33.160.739/0001-10 - HOSP MEDICAL - COMERCIO DE MATERIAL MEDICO E MEDICAMENTOS HOSPITALARES LTDA,"39.814,00",39814,Aug,2020,2020-08,SES,Obras e serviços de engenharia,Abaixo de 50 mil
1074,25.220.000090.2020,SES/HOSPITAL DISTRITAL DE POMBAL,18/08/2020,AQUISIÇÃO DE MEDICAMENTOS ESTIMULANTES ADRENÉRGICOS PARA ALA COVID-19,40.787.152/0001-09 - CIRUFARMA COMERCIAL LTDA,"9.038,00",9038,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1075,25.000.1302585.2020,SECRETARIA DE ESTADO DA SAÚDE,19/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700,Aug,2020,2020-08,SES,Contratação de serviços em geral,Abaixo de 50 mil
1076,25.000.2307505.2020,SECRETARIA DE ESTADO DA SAÚDE,19/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO  ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"150.447,78",150447.78,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1077,25.213.000723.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/08/2020,AQUISIÇÃO DE LONA PARA ALA COVID-19,40.953.200/0001-83 - CONSTRUCENTER LTDA,"3.597,00",3597,Aug,2020,2020-08,SES,Materiais de Expediente,Abaixo de 50 mil
1078,25.213.000724.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/08/2020,AQUISIÇÃO DE MATERIAL DE ROUPARIA E COSTURA PARA ALA COVID-19,24.376.241/0001-06 - CR COM TECIDOS EIRELLI ME,"76.892,40",76892.4,Aug,2020,2020-08,SES,Materiais de Expediente,Entre 50mil e 100mil
1079,25.239.000681.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/08/2020,MATERIAL HOSPITALAR,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,"14.000,00",14000,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1080,25.239.000683.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/08/2020,AQUISIÇÃO DE MEDICAMENTOS,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","4.000,00",4000,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1081,25.239.000684.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/08/2020,MATERIAL HOSPITALAR,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"3.675,60",3675.6,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1082,25.000.1707517.2020,SECRETARIA DE ESTADO DA SAÚDE,20/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"964,80",964.8,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1083,25.000.708536.2020,SECRETARIA DE ESTADO DA SAÚDE,20/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"44.622,00",44622,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1084,25.213.000.726.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS,07.803.245/0001-04 - FRIGORIFICO SAO FRANCISCO EIRELI,"374.211,00",374211,Aug,2020,2020-08,SES,Alimentação Hospitalar,Acima de 150mil
1085,25.213.000729.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MATERIAIS DESCARTÁVEIS,18.535.927/0001-91 - MARX RANIELDES SOARES DE SOUZA,"226.693,00",226693,Aug,2020,2020-08,SES,Materiais de Expediente,Acima de 150mil
1086,25.213000733.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MATERIAIS DE ROUPARIA E COSTURA,24.376.241/0001-06 - CR COMÉRCIO DE TECIDOS EIRELI - ME,"36.403,00",36403,Aug,2020,2020-08,SES,Compra de material permanente,Abaixo de 50 mil
1087,25.213.000734.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,13.094.898/0001-56 - ELIANE DO NASCIMENTO CAMPOS,"107.508,45",107508.45,Aug,2020,2020-08,SES,Materiais de Expediente,Entre 100mil e 150mil
1088,25.213.000735.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS GRÁFICOS EM GERAL,03.351.997/0001-12 - CLEONÁCIO GOMES FEITOSA,"39.992,00",39992,Aug,2020,2020-08,SES,Serviços Gráficos e de Impressão,Abaixo de 50 mil
1089,25.213.000740.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MEDICAMENTOS,31.687.514/0001-90 - JORGE LUIZ ULISSES DE MIRANDA SOARES FILHO COMERCIO DE MEDICAMENTOS,"1.084.488,20",1084488.2,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1090,25.213.000741.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MATERIAL MÉDICO E HOSPITALAR,07.936.090/0001-76 - BIOMED DIST. HOSP. E LABORATORIAL NOSSA SENHORA DA CONCEICAO LTDA,"1.529.585,70",1529585.7,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Acima de 150mil
1091,25.213.000743.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,20/08/2020,AQUISIÇÃO DE MATERIAIS DE DOMISSANEANTES,27.543.994/0001-49 - EMANUELLA DE ASEVEDO ANDRADE,"162.508,86",162508.86,Aug,2020,2020-08,SES,Materiais de Expediente,Acima de 150mil
1092,25.216.001596.2020,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,20/08/2020,"SERVIÇO DE EXAMES RADIOLÓGICOS (RAIO X, TOMOGRAFIA E ANGIOTOMOGRAFIA)",02.503.493/0001-08 - CAMPIMAGEM-CENTRO DE DIAG.POR IMAGEM DE CAMP.GRANDE LTDA,"112.520,00",112520,Aug,2020,2020-08,SES,Exame Hospitalar,Entre 100mil e 150mil
1093,25.239.000685.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/08/2020,MATERIAL HOSPITALAR,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"918,00",918,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1094,25.239.000689.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/08/2020,MATERIAL HOSPITALAR,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"5.283,84",5283.84,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1095,25.000.2312549.2020,SECRETARIA DE ESTADO DA SAÚDE,21/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700,Aug,2020,2020-08,SES,Contratação de serviços em geral,Abaixo de 50 mil
1096,25.000.707586.2020,SECRETARIA DE ESTADO DA SAÚDE,21/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA EXECUÇÃO DA INSTALAÇÃO DA REDE DE GASES MEDICINAIS,24.941.228/0001-44 - FARMATEC - COMERCIO DE EQUIPAMENTOS E MANUTENÇÃO EM EQUIPAMENTOS HOSPITALARES LTDA,"195.630,00",195630,Aug,2020,2020-08,SES,Obras e serviços de engenharia,Acima de 150mil
1097,25.213.000749.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,24/08/2020,AQUISIÇÃO DE ÁLCOOL EM GEL PARA ALA COVID-19.,27.543.994/0001-49 - EMANUELLA DE ASEVEDO ANDRADE,"632,00",632,Aug,2020,2020-08,SES,Materiais de Expediente,Abaixo de 50 mil
1098,25.213.000750.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,24/08/2020,CONTRATAÇÃO DE EMPRESA PARA REALIZAR EXAMES TOMOGRÁFICOS E RADIOLÓGICOS ,13.845.768/0001-08 - CEDIC - CENTRO DE DIAGNOSTICO E IMAGEM LIMITADA - ME,"145.360,00",145360,Aug,2020,2020-08,SES,Exame Hospitalar,Entre 100mil e 150mil
1099,25.215.000093.2020,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,24/08/2020,LAUDO SPDA E MANUTENÇÃO EM SISTEMA DE HIDRANTES,17.017.136/0001-07 - MECA MONTAGEM TUBULAÇAO,"12.800,00",12800,Aug,2020,2020-08,SES,Contratação de serviços em geral,Abaixo de 50 mil
1100,25.239.000693.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,24/08/2020,MATERIAL HOSPITALAR,05.000.571/0001-40 - HBL VENDAS E SERV.DE ART.MEDICOS E ORTOPEDICOS LTDA,"9.475,20",9475.2,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1101,25.239.000695.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,24/08/2020,MATERIAL HOSPITALAR OPME,06.204.103/0001-50 - R S DOS SANTOS,"12.554,00",12554,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1102,25.239.000696.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,24/08/2020,MATERIAL HOSPITALAR OPME,06.204.103/0001-50 - R S DOS SANTOS,"12.554,00",12554,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1103,31.204.000663.2020,SEDH/COMPANHIA ESTADUAL DE HABITAÇÃO POPULAR,24/08/2020,CONTRATAÇÃO DE SERVIÇO DE VIGILÂNCIA ARMADA,20.906.528/0001-31 - ÁTRIO SERVIÇOS DE SEGURANÇA PRIVADA EIRELI,"83.012,88",83012.88,Aug,2020,2020-08,SEDH,Contratação de serviços em geral,Entre 50mil e 100mil
1104,25.216.001320.2020,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,25/08/2020,"SERVIÇOS DE MANUTENÇÃO, RECUPERAÇÃO E CONFECÇÃO DE MATERIAIS HOSPITALARES",20.947.671/0001-71 - ANTONIO DE ARRUDA PINTO,"15.700,00",15700,Aug,2020,2020-08,SES,Conserto e Manutenção de equipamentos,Abaixo de 50 mil
1105,25.000.1208541.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,60.318.797/0001-00 - ASTRAZENECA DO BRASIL LTDA,"303.408,00",303408,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1106,25.000.1308544.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,44.010.437/0001-81 - CAZI QUIMICA FARMACEUTICA IND E COM LTDA,"94.800,00",94800,Aug,2020,2020-08,SES,Compra de Medicamentos,Entre 50mil e 100mil
1107,25.000.1707515.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ETANERCEPTE 25MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"15.308,16",15308.16,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1108,25.000.1808528.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,EMERGENCIAL DE MEDICAMENTO (CANAQUINUMABE 150MG),56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"240.071,64",240071.64,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1109,25.000.2307508.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,"EMERGENCIAL DE FÓRMULAS NUTRICIONAIS (ESPESSANTE NUTILIS 300GR, FORTINI 400GR E TCM COM AGE 250ML)",29.329.985/0001-85 - CENUTRI COMERCIO E SERVICOS DE NUTRICAO LTDA,"18.036,00",18036,Aug,2020,2020-08,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
1110,25.000.3101504.2020,SECRETARIA DE ESTADO DA SAÚDE,26/08/2020,EMERGENCIAL DE CADEIRA DE RODAS INFANTIL ADAPTÁVEL,10.852.945/0001-95 - SCD IND.E COM.DE APAR.ORTOPEDICOS LTDA-EPP,"3.286,00",3286,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1111,25.000.608619.2020,SECRETARIA DE ESTADO DA SAÚDE,27/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (VALSARTANA + ANLODIPINO 320/50MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"531,16",531.16,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1112,25.239.000706.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/08/2020,AQUISIÇÃO DE MEDICAMENTOS,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"2.176,00",2176,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1113,25.239.000707.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/08/2020,MATERIAL HOSPITALAR OPME,01.772.798/0006-67 - MEDTRONIC COMERCIAL LTDA,"47.314,00",47314,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1114,25.239.000709.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/08/2020,MATERIAL HOSPITALAR OPME,27.938.961/0001-06 - BEMMED DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR EIRELI,"8.346,00",8346,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1115,25.000.1706501.2020,SECRETARIA DE ESTADO DA SAÚDE,28/08/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,29.521.159/0001-33 - HOSPITAL MILAGRES SERVICOS DE SAUDE EIRELI,"229.624,98",229624.98,Aug,2020,2020-08,SES,Contratação de serviços em geral,Acima de 150mil
1116,25.000.608614.2020,SECRETARIA DE ESTADO DA SAÚDE,28/08/2020,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTOS NUTRICIONAIS,01.687.725/0002-43 - CENTRO ESPECIALIZADO EM NUTRICAO ENTERAL E PARENTERAL - CENEP LTDA,"3.672,00",3672,Aug,2020,2020-08,SES,Suplementos e Leite Fórmula,Abaixo de 50 mil
1117,25.213.000753.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,28/08/2020,AQUISIÇÃO DE GÁS LIQUEFEITO,03.434.985/0001-51 - MANOEL ALCINDO DE ANDRADE,"28.500,00",28500,Aug,2020,2020-08,SES,Gás Liquefeito,Abaixo de 50 mil
1118,25.239.000708.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,28/08/2020,MATERIAL HOSPITALAR OPME,27.816.265/0001-19 - SURGICALMED,"55.800,00",55800,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Entre 50mil e 100mil
1119,25.205.001099.2020,SES/COMPLEXO DE SAÚDE CLEMENTINO FRAGA,29/08/2020,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL,29.184.172/0001-44 - TORINO COMERCIO DE VESTUARIO EIRELI,"833.640,00",833640,Aug,2020,2020-08,SES,Materiais de Expediente,Acima de 150mil
1120,25.000.1208539.2020,SECRETARIA DE ESTADO DA SAÚDE,31/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"606.510,00",606510,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1121,25.000.1308546.2020,SECRETARIA DE ESTADO DA SAÚDE,31/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"199.389,60",199389.6,Aug,2020,2020-08,SES,Compra de Medicamentos,Acima de 150mil
1122,25.000.608607.2020,SECRETARIA DE ESTADO DA SAÚDE,31/08/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DAPAGLIFOZINA+CLORIDRATO DE METFORMINA 10/1000MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"3.582,00",3582,Aug,2020,2020-08,SES,Compra de Medicamentos,Abaixo de 50 mil
1123,25.216.001711.2020,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,31/08/2020,AQUISIÇÃO DE GASES MEDICINAIS,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"1.295.445,00",1295445,Aug,2020,2020-08,SES,Material e Equipamentos Hospitalares,Acima de 150mil
1124,25.238.000042.2020,SES/HOSPITAL GERAL DE MAMANGUAPE,31/08/2020,SERVIÇO  EM ENGENHARIA/MANUTENÇÃO CLÍNICA DE EQUIPAMENTOS MÉDICO E HOSPITALARES,20.947.671/0001-71 - ANTONIO DE ARRUDA PINTO,"45.000,00",45000,Aug,2020,2020-08,SES,Contratação de serviços em geral,Abaixo de 50 mil
1125,25.000.1908510.2020,SECRETARIA DE ESTADO DA SAÚDE,1/9/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (AMBRISETANA 10MG E 50MG) ,04.307.650/0015-30 - ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPÍTALARES E ONCOLOGICOS LTDA,"181.666,00",181666,Sep,2020,2020-09,SES,Compra de Medicamentos,Acima de 150mil
1126,25.000.2806589.2020,SECRETARIA DE ESTADO DA SAÚDE,1/9/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA ,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"7.400,00",7400,Sep,2020,2020-09,SES,Contratação de serviços em geral,Abaixo de 50 mil
1127,25.216.000637.2020,SES/HOSPITAL DE TRAUMAS DE CAMPINA GRANDE,1/9/2020,CONTRATAÇÃO DE SERVIÇO DE SESSÕES DE HEMODIÁLISE CONVENCIONAL,13.377.317/0001-93 - CTERT CENTRO DE TRATAMENTO ESPECIALIZADO RENAL E TRANSPLANTES S/S LTDA,"626.400,00",626400,Sep,2020,2020-09,SES,Contratação de serviços em geral,Acima de 150mil
1128,25.000.1408546.2020,SECRETARIA DE ESTADO DA SAÚDE,2/9/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"848.990,88",848990.88,Sep,2020,2020-09,SES,Compra de Medicamentos,Acima de 150mil
1129,25.000.2108512.2020,SECRETARIA DE ESTADO DA SAÚDE,2/9/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (LEVODOPA + BENSERAZIDA 200 + 50MG) ,07.484.373/0001-24 - UNI HOSPITALAR LTDA,"1.260,00",1260,Sep,2020,2020-09,SES,Compra de Medicamentos,Abaixo de 50 mil
1130,25.000.2201587.2020,SECRETARIA DE ESTADO DA SAÚDE,2/9/2020,AQUISIÇÃO EMERG DE CAMA P ELEVAÇÃO DE DECÚBITO E COLCHÃO INFLÁVEL CAIXA DE OVO COM ORIFÍCIO ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"3.289,00",3289,Sep,2020,2020-09,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1131,25.213.000796.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,2/9/2020, LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS (OXIGÊNIO E AR COMPRIMIDO),03.259.614/0001-80 - R.C. COMERCIO GASES E EQUIPAMENTOS LTDA-ME,"186.000,00",186000,Sep,2020,2020-09,SES,Obras e serviços de engenharia,Acima de 150mil
1132,25.213.000798.2020,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,2/9/2020,AQUISIÇÃO DE TESTES PARA GASOMETRIA,05.731.550/0001-02 - WEBMED SOLUÇÕES EM SAÚDE EIRELI,"44.100,00",44100,Sep,2020,2020-09,SES,Material e Equipamentos Hospitalares,Abaixo de 50 mil
1133,25.000.110220603.2020,SECRETARIA DE ESTADO DA SAÚDE,3/9/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME PET CT SCAN ,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700,Sep,2020,2020-09,SES,Exame Hospitalar,Abaixo de 50 mil
1134,25.000.1302586.2020,SECRETARIA DE ESTADO DA SAÚDE,3/9/2020,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME PET SCAN ,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700,Sep,2020,2020-09,SES,Exame Hospitalar,Abaixo de 50 mil
1135,25.239.000720.2020,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,3/9/2020,MATERIAL HOSPITALAR,17.227.485/0001-53 - LG PRODUTOS,"178.075,00",178075,Sep,2020,2020-09,SES,Material e Equipamentos Hospitalares,Acima de 150mil
1136,25.220.000100.2020,SES/HOSPITAL DISTRITAL DE POMBAL,7/9/2020,MEDICAMENTOS PSICOTRÓPICOS PARA A ALA COVID-19,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"25.671,00",25671,Sep,2020,2020-09,SES,Compra de Medicamentos,Abaixo de 50 mil
1137,25.220.000101.2020,SES/HOSPITAL DISTRITAL DE POMBAL,7/9/2020,MEDICAMENTOS PARA A ALA COVID-19,27.985.664/0001-03 - EUROMED COMERCIO DE MEDICAMENTOS LTDA,"13.150,00",13150,Sep,2020,2020-09,SES,Compra de Medicamentos,Abaixo de 50 mil
1138,25.000.708528.2020,SECRETARIA DE ESTADO DA SAÚDE,8/9/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.994.502/0027-79 - NOVARTIS BIOCIENCIAS SA,"11.857,16",11857.16,Sep,2020,2020-09,SES,Compra de Medicamentos,Abaixo de 50 mil
1139,30.000.095137.2020,ENCARGOS GERAIS DO ESTADO,8/9/2020,LOCAÇÃO DE IMÓVEL DISTRITO INTEGRADO DE SEGURANÇA PÚBLICA DE JOÃO PESSOA,570.239.727-49 - FRANCISCA DE FATIMA MONTEIRO MELLO,"75.600,00",75600,Sep,2020,2020-09,EGE,Locação de Imóvel,Entre 50mil e 100mil
1140,30.000.449021.2020,ENCARGOS GERAIS DO ESTADO,8/9/2020,LOCAÇÃO DE IMÓVEL 1ª E 2ª DELEGACIAS DE POLÍCIA CIVIL EM POMBAL,548.564.004-44 - FRANCISCO GOMES DE FREITAS,"42.000,00",42000,Sep,2020,2020-09,EGE,Locação de Imóvel,Abaixo de 50 mil
1141,25.000.2108514.2020,SECRETARIA DE ESTADO DA SAÚDE,9/9/2020,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (ATEZOLIZUMABE 1200MG) ,33.009.945/0002-04 - PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A,"125.831,58",125831.58,Sep,2020,2020-09,SES,Compra de Medicamentos,Entre 100mil e 150mil
