Nº Processo,Órgão,Data de Abertura,Objeto,Razão Social,Total Adjudicado,Valor_transformado
25.213.000058.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/01/2021,AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO,40.953.200/0001-83 - CONSTRUCENTER LTDA,"23.221,00",23221.00
25.213.000059.2021,SES/COMPLEXO DE SAÚDE DE CAJAZEIRAS,19/01/2021,AQUISIÇÃO DE MATERIAIS DE ELÉTRICOS,40.953.200/0001-83 - CONSTRUCENTER LTDA,"32.867,00",32867.00
25.215.000004.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,19/01/2021,AQUISIÇAO DE MATERIAL PARA AGÊNCIA TRANSFUSIONAL,04.666.364/0001-66 - CDH - CENTRO DE DIAGNOSTICO HUMANO LTDA - ME,"40.482,60",40482.60
25.239.000028.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,AQUISIÇÃO DE UTENSILIOS LACTARIO,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"1.751,52",1751.52
25.239.000029.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,PRODUTOS FRIOS E LATICINIOS,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"41.445,00",41445.00
25.239.000030.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,PRODUTOS PROTEÍNAS,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"631.331,04",631331.04
25.239.000031.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,AQUISIÇÃO DE PRODUTOS  DESCARTÁVEIS,34.387.726/0001-40 - BRUCE LEE DE LIMA MONTEIRO,"365.883,18",365883.18
25.239.000032.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,NUTRIÇÃO GENERO ALIMENTICIO 1,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"109.999,56",109999.56
25.239.000033.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,19/01/2021,NUTRIÇÃO GENERO ALIMENTICIO 2,32.272.266/0001-80 - RAIMUNDO CARVALHO DE ALENCAR NETO 07794079462,"106.402,80",106402.80
25.000.1612512.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (APTAMIL SOJA 2 800GR) ,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"1.887,36",1887.36
25.000.1612514.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (NOVAMIL RICE 400GR) ,"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","13.410,00",13410.00
25.000.1712537.2021,SECRETARIA DE ESTADO DA SAÚDE,20/01/2021,AQUISIÇÃO EMERGENCIAL DE FÓRMULA INFANTIL (NOVAMIL RICE 400GR),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","10.728,00",10728.00
25.206.000020.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,20/01/2021,AQUISIÇÃO DE TECIDOS E AVIAMENTOS,19.752.596/0001-04 - CENTER COMERCIAL FORMIGA LTDA,"274.910,00",274910.00
25.239.000034.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE UTENSILIOS PARA COZINHA,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,"3.711,14",3711.14
25.239.000035.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE HORTIFRUTIGRANJEIRO,03.160.525/0001-82 - NORT FRUT EIRELI,"110.370,12",110370.12
25.239.000036.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,17.385.610/0001-53 - NEOFLEX BIOTECNOLOGIA LTDA,"7.200,00",7200.00
25.239.000038.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"195.360,00",195360.00
25.239.000039.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,MATERIAL HOSPITALAR,03.246.587/0001-01 - SUFRAMED COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,"20.000,00",20000.00
25.239.000040.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,20/01/2021,AQUISIÇÃO DE MATERIAL DESCARTAVEL,06.217.117/0001-08 - ART MEDICAL PRODUTOS MEDICO-HOSPITALARES LTDA  - EPP,"11.250,00",11250.00
25.000.611544.2021,SECRETARIA DE ESTADO DA SAÚDE,21/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"869.259,60",869259.60
25.229.000003.2021,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,21/01/2021,CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE SESSOES DE HEMODIALISE NOS LEITOS DE UTI,21.824.717/0001-28 - NEPHRON PARAÍBA SERVIÇOS DE NEFROLOGIA LTDA,"66.000,00",66000.00
25.229.000004.2021,SES/HOSPITAL REGIONAL WENCESLAU LOPES - PIANCO,21/01/2021,CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÕES DE EXAMES LABORATORIAIS DESTINADOS AOS PACIENTES COVID-19.,10.485.989/0001-24 - MEDICAL CENTER- COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA - ME,"127.500,00",127500.00
25.239.000043.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,02.977.362/0001-62 - A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA,"35.400,00",35400.00
25.239.000044.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"12.484,80",12484.80
25.239.000045.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,10.461.807/0001-85 - PHARMEDICE MANIPULACOES ESPECIALIZADAS EIRELI,"2.930,00",2930.00
25.239.000046.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MATERIAL DESCARTAVEL,04.654.716/0001-63 - COMERCIAL MEDEIROS LTDA,"5.699,00",5699.00
25.239.000048.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,AQUISIÇÃO DE MEDICAMENTOS,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"999.686,68",999686.68
25.239.000049.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,MATERIAL HOSPITALAR OPME,29.444.380/0001-35 - CONECTA HOSPITALAR,"2.000,00",2000.00
25.239.000050.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,21/01/2021,MATERIAL MANUTEÇÃO,02.393.076/0001-50 - UNIMIXX COMERCIO E SERVICOS EIRELI,"39.562,00",39562.00
25.239.000051.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,22/01/2021,AQUISIÇÃO DE ENXOVAIS/UNIFORMES,32.823.138/0001-87 - RK PERSONALIZADOS,"311.915,00",311915.00
25.000.2011632.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (PALBOCICLIBE 125 MG),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"94.174,08",94174.08
25.000.2611619.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (DUPILUMABE 300 MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"42.170,66",42170.66
25.000.701551.2021,SECRETARIA DE ESTADO DA SAÚDE,25/01/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL,29.329.985/0001-85 - MEDERI DISTRIBUICAO E IMPORTACAO DE PRODUTOS PARA SAUDE LTDA,"14.784,00",14784.00
25.239.000056.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"9.572,90",9572.90
25.239.000057.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,AQUISIÇÃO DE MATERIAIS DE EXPEDIENTE,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"11.197,88",11197.88
25.239.000059.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,25/01/2021,MATERIAL HOSPITALAR,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"134.292,81",134292.81
25.240.000017.2021,SES/HOSPITAL DE CLINICAS DE CAMPINA GRANDE,25/01/2021,AQUISIÇÃO DE REFEIÇÕES TIPO QUENTINHA DESTINADO AO COMBATE AO COVID-19,33.195.006/0001-10 - SARAH MAYRLA AGRICIO AT,"1.072.980,00",1072980.00
31.203.000009.2021,SEIE/COMPANHIA DOCAS DA PARAÍBA,25/01/2021,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DOS SERVIÇOS DE PLANO DE SAUDE,08.680.639/0001-77 - UNIMED JOAO PESSOA COOPERATIVA DE TRABALHO MEDICO,"119.111,79",119111.79
15.201.000005.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,26/01/2021, GASES MEDICINAIS,24.380.578/0018-27 - WHITE MARTINS GASES IND. DO NORDESTE LTDA,"636.186,12",636186.12
15.201.000006.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,26/01/2021,INSUMOS DE LABORATÓRIO,11.426.166/0001-90 - DIAGFARMA COMÉRCIO E SERVIÇOS DE PRODUTOS HOSPITALARES E LABORATORIAIS LTDA,"223.376,00",223376.00
25.000.112517.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"299.643,84",299643.84
25.000.1301542.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021, EMERGENCIAL DE MEDICAMENTO (RIVAROXABANA 20 MG),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","39.164,16",39164.16
25.000.1612516.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,EMERGENCIAL DE CURATIVOS BIOLÓGICOS E MEDICAMENTOS ,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"13.678,50",13678.50
25.000.1712535.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (TEMOZOLOMIDA DE 20/100/250 MG),11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"227.957,00",227957.00
25.000.2011631.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"256.410,72",256410.72
25.000.2011633.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021, MEDICAMENTO (PEMBROLIZUMABE 100 MG/04 ML),09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"224.733,06",224733.06
25.000.701550.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,MEDICAMENTO (SUCCINATO DE RIBOCICLIBE 200 MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"89.699,40",89699.40
25.000.701553.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS (DUPILUMABE DE 200 E 300MG) ,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"124.232,64",124232.64
25.206.000049.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,26/01/2021,AQUISIÇÃO MATERIAL MÉDICO E HOSPITALAR,05.932.624/0001-60 - MEGAMED COMERCIO LTDA,"555.578,00",555578.00
25.000.701548.2021,SECRETARIA DE ESTADO DA SAÚDE,26/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,11.563.145/0001-17 - COMERCIAL MOSTAERT LTDA,"33.506,70",33506.70
25.000.1011525.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"892.530,60",892530.60
25.000.1301525.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"61.866,72",61866.72
25.000.2611620.2021,SECRETARIA DE ESTADO DA SAÚDE,27/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO ,56.994.502/0026-98 - NOVARTIS BIOCIÊNCIAS S.A.,"63.002,16",63002.16
25.203.002210.2021,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,27/01/2021,AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR - AVENTAIS - COVID 19,10.939.067/0001-40 - GUERRA E DANTAS SERVIÇOS E COM DE VESTUÁRIO LTDA - ME,"586.070,00",586070.00
25.239.000060.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE ACESSORIO PARA POLÍGRAFO,26.603.680/0001-21 - MORAMED MANUTENCAO E VENDA DE ACESSORIOS MEDICO HOSPITALAR LTDA,"4.030,00",4030.00
25.239.000062.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,MATERIAL HOSPITALAR,56.942.527/0001-90 - PANMEDICA NEGOCIOS HOSPITALARES LTDA.,"38.738,00",38738.00
25.239.000063.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,44.734.671/0001-51 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACEUTICOS LTDA,"9.600,00",9600.00
25.239.000064.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"1.677,00",1677.00
25.239.000065.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,MATERIAL HOSPITALAR,07.552.997/0002-12 - PROMEDICA - COMERCIO E ASSISTENCIA TECNICA MEDICA LTDA,"60.270,00",60270.00
25.239.000066.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE MEDICAMENTOS,38.346.373/0001-91 - C R SILVA LIBERATO COMERCIO DE MEDICAMENTO LTDA,"35.472,00",35472.00
25.239.000068.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,NUTRIÇÃO  ALIMENTOS DO GENERO ALIMENTICIO 3,04.462.687/0001-38 - CHRISTIANNY MAROJA,"85.369,38",85369.38
25.239.000069.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,27/01/2021,AQUISIÇÃO DE POLPA DE FRUTA,23.265.304/0001-86 - EZEQUIAS VIEIRA DA SILVA,"33.480,00",33480.00
24.000.005632.2021,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA,28/01/2021,SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM SISTEMA DE VIDEOMONITORAMENTO,04.520.605/0001-64 - MAX LIRA SEGURANCA ELETRONICA COMERCIO E ATIVIDADES DE SEGURANCA EIRELI,"25.000,00",25000.00
25.000.1301524.2021,SECRETARIA DE ESTADO DA SAÚDE,28/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO (INSULINA ASPART AÇÃO RÁPIDA 100 UI/ML) ,09.053.134/0002-26 - ELFA MEDICAMENTOS S.A,"1.734.850,00",1734850.00
25.000.701549.2021,SECRETARIA DE ESTADO DA SAÚDE,28/01/2021,AQUISIÇÃO EMERGENCIAL DE SUPLEMENTO NUTRICIONAL (NEO SPOON),"15.218.561/0001-39 - NNMED - DISTRIBUICAO, IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA","12.483,00",12483.00
25.210.000023.2021,SES/HOSPITAL REGIONAL DE PATOS,28/01/2021,AQUISIÇÃO DE GÁS LIQUEFEITO,03.092.570/0001-47 - REVENDEDORA DE GAS DO BRASIL LTDA,"38.543,40",38543.40
25.000.2011634.2021,SECRETARIA DE ESTADO DA SAÚDE,29/01/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS ,56.998.982/0031-22 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,"149.821,92",149821.92
25.207.000017.2021,SES/COMPLEXO DE SAÚDE DE GUARABIRA,29/01/2021,SERVIÇO DE FORNECIMENTO DE INTERNET,17.275.773/0001-83 - ME TELECOM SOLUÇÕES E SERVIÇOS DE TELECOMUNICAÇÕES EIRELI,"7.200,00",7200.00
25.239.000070.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,AQUISIÇÃO DE INSUMOS CME,01.722.296/0001-17 - PANORAMA COMERCIO DE PRODUTOS MEDICOS E FARMACEUTICOS LTDA,"181.430,40",181430.40
25.239.000071.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,AQUISIÇÃO DE UTENSILIOS PARA COZINHA ,35.044.590/0001-39 - JR COMERCIO DE UTILIDADES EIRELI,"5.681,06",5681.06
25.239.000072.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,MATERIAL HOSPITALAR,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"449.752,08",449752.08
25.239.000073.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,29/01/2021,AQUISIÇÃO DE MEDICAMENTOS,12.882.932/0001-94 - EXOMED REPRESENTACAO DE MEDICAMENTOS LTDA,"378.231,72",378231.72
25.000.1311602.2021,SECRETARIA DE ESTADO DA SAÚDE,1/2/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,07.484.373/0001-24 - UNI HOSPITALAR LTDA,"53.100,00",53100.00
25.000.2610538.2021,SECRETARIA DE ESTADO DA SAÚDE,1/2/2021,AQUISIÇÃO EMERGENCIAL DE MATERIAIS MÉDICOS DIVERSOS E POMADAS,12.600.168/0001-17 - MOLNLYCKE HEALTH CARE,"533.525,40",533525.40
15.201.000020.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,2/2/2021,GÊNEROS ALIMENTÍCIOS ,30.250.913/0001-27 - JOSE FHILLYPE DOS SANTOS BRITO,"265.345,20",265345.20
15.201.000021.2021,INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO,2/2/2021,HORTIFRUTIGRANJEIROS E POLPA DE FRUTAS,35.795.557/0001-40 - SIBELLE OLIVEIRA ARAÚJO 06549015464 ME,"250.809,30",250809.30
25.000.2511609.2021,SECRETARIA DE ESTADO DA SAÚDE,2/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,05.238.398/0001-12 - NORDESTE SERVIÇOS MEDICOS LTDA.,"233.820,00",233820.00
25.206.000056.2021,SES/COMPLEXO DE SAÚDE ARLINDA MARQUES,2/2/2021,AQUISIÇÃO DE POLPAS DE FRUTA,04.408.503/0001-51 - IND.DE POLPAS DE FRUTA IDEAL LTDA,"77.608,80",77608.80
30.000.448032.2021,ENCARGOS GERAIS DO ESTADO,2/2/2021,LOCAÇÃO DE IMÓVEL EEEF ANTÔNIO VICENTE EM CAMPINA GRANDE,09.380.049/0001-91 -  LOJA MAÇÔNICA REGENERAÇÃO CAMPINENSE,"13.000,00",13000.00
25.000.112518.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,EMERGENCIAL DE CURATIVOS BIOLÓGICOS E MEDICAMENTOS,06.948.769/0001-12 - TECNOCENTER MAT.MEDICOS HOSPITALARES LTDA,"67.495,80",67495.80
25.000.1611556.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME DE PET/CT ,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700.00
25.000.1620599.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE HOMECARE ,29.521.159/0001-33 - HOSPITAL MILAGRES SERVIÇOS DE SAUDE EIRELI,"133.294,14",133294.14
25.000.1911552.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA REALIZAÇÃO DO EXAME DE PET/CT,35.589.456/0001-13 - CENTRAL DE DIAGNOSTICO LTDA - EPP,"3.700,00",3700.00
25.000.1911566.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA,35.839.460/0001-92 - MEDLAR HOME CARE & AID HOME SERVIÇOS MEDICOS LTDA,"61.170,00",61170.00
25.000.312549.2021,SECRETARIA DE ESTADO DA SAÚDE,3/2/2021,"EMERGENCIAL DE MEDICAMENTO (DEXAMETASONA 0,7 MG) ",81.887.838/0007-36 - PROFARMA SPECIALTY S/A,"22.382,28",22382.28
25.215.000003.2021,SES/HOSPITAL DE TRAUMAS DE JOÃO PESSOA,3/2/2021,AQUISIÇÃO DE TECIDOS E AVIAMENTOS,19.752.596/0001-04 - CENTER COMERCIAL FORMIGA LTDA,"1.221.240,60",1221240.60
25.237.000007.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),3/2/2021,EMPRESA ESPECIALIZADA EM LOCAÇÃO DE IMPRESSORAS/FOTOCOPIADORAS ,40.938.508/0001-50 - MAQ-LAREM MAQUINAS MOV. E EQUIPAMENTOS LTDA,"32.040,48",32040.48
25.237.000008.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),3/2/2021,CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DE EXAMES DE GASOMETRIA,01.274.126/0001-17 - D OXXI NORDESTE LTDA,"45.456,00",45456.00
30.000.055381.2021,ENCARGOS GERAIS DO ESTADO,3/2/2021,LOCAÇÃO DE IMÓVEL DEPÓSITO DE ROUBOS E FURTOS DE VEÍCULOS EM CAMPINA GRANDE,008.476.524-08 - VALDÊNCIA FERREIRA SILVEIRA,"2.286,27",2286.27
30.000.277545.2021,ENCARGOS GERAIS DO ESTADO,3/2/2021,LOCAÇÃO DE IMÓVEL GUARDAS DE MERCADORIAS APREEND. PELA FISCALIZAÇÃO DO 3º NÚCLEO REGIONAL DA SEFAZ ,498.935.804-04 - PAULO ROGERIO DE SOUZA RÊGO,"17.000,00",17000.00
25.000.1401545.2021,SECRETARIA DE ESTADO DA SAÚDE,4/2/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,43.940.618/0001-44 - ELI LILLY DO BRASIL LTDA,"86.457,60",86457.60
25.000.1612511.2021,SECRETARIA DE ESTADO DA SAÚDE,4/2/2021,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTO,09.053.134/0001-45 - ELFA MEDICAMENTOS S.A,"1.735,08",1735.08
25.000.702563.2021,SECRETARIA DE ESTADO DA SAÚDE,4/2/2021,CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA FORNECIMENTO DE OXIGENIOTERAPIA ,04.238.951/0001-54 - LOCMED HOSPITALAR LTDA,"2.136,00",2136.00
25.203.002078.2021,SES/COMPLEXO DE SAÚDE DE CRUZ DAS ARMAS,4/2/2021,AQUISIÇÃO EMERGENCIAL DE CAPAS E COLCHÕES CAIXA DE OVO,33.932.061/0001-46 - LEÃO SERVIÇO E COMERCIO VAREJISTA DE ELETROELETRÔNICO LTDA,"147.000,00",147000.00
25.220.000030.2021,SES/HOSPITAL DISTRITAL DE POMBAL,4/2/2021,LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS (OXIGÊNIO E AR COMPRIMIDO) PARA ALA COVID 19,"18.791.322/0001-61 - PHARMAGAS COMERCIO , SERVICOS, IMPORTACAO E EXPORTACAO LTDA","210.000,00",210000.00
25.220.000031.2021,SES/HOSPITAL DISTRITAL DE POMBAL,4/2/2021,LOCAÇÃO DE USINA DE PRODUÇÃO DE GASES MEDICINAIS (OXIGÊNIO E AR COMPRIMIDO) ,"18.791.322/0001-61 - PHARMAGAS COMERCIO , SERVICOS, IMPORTACAO E EXPORTACAO LTDA","179.822,40",179822.40
25.220.000032.2021,SES/HOSPITAL DISTRITAL DE POMBAL,4/2/2021,SERVIÇO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE MÁQUINA DE HEMODIALISE PARA ALA COVID-19,21.824.717/0001-28 - NEPHRON PARAÍBA SERVIÇOS DE NEFROLOGIA LTDA,"78.000,00",78000.00
25.237.000002.2021,SES/MATERNIDADE DR. PEREGRINO FILHO (PATOS),4/2/2021,FORNECIMENTO DE GASES MEDICINAIS,05.329.135/0003-80 - ALEXSANDRO SANTOS DA SILVA - EPP,"380.145,00",380145.00
30.000.006436.2021,ENCARGOS GERAIS DO ESTADO,4/2/2021,LOCAÇÃO DE IMÓVEL DELEGACIA DE POLÍCIA CIVIL EM SOLÂNEA,126.374.364-17 - ANTONIO MURILO RODRIGUES DA SILVA,"550,00",550.00
25.239.000079.2021,SES/HOSPITAL METROPOLITANO DOM JOSE MARIA PIRES - SANTA RITA,5/2/2021,PRESTAÇÃO DE SERVIÇO ESPECIALIZADO,11.320.982/0001-15 - INOVAPAR SOLUÇÕES LTDA,"27.000,00",27000.00
